#K-Path     Energy-Level
#Band-index    1
  1.058      -21.0944
  1.092      -21.0944
  1.126      -21.0944
  1.160      -21.0944
  1.194      -21.0944
  1.228      -21.0944
  1.262      -21.0944
  1.295      -21.0944
  1.329      -21.0944
  1.363      -21.0943
  1.397      -21.0944
  1.431      -21.0944
  1.465      -21.0944
  1.465      -21.0944
  1.493      -21.0944
  1.520      -21.0944
  1.548      -21.0944
  1.575      -21.0944
  1.603      -21.0944
  1.631      -21.0944
  1.658      -21.0944
  1.686      -21.0944
  1.714      -21.0944
  1.741      -21.0944
  1.769      -21.0944
  1.797      -21.0944
  1.824      -21.0944
  1.852      -21.0944
  1.880      -21.0944
  1.907      -21.0944
  1.935      -21.0944
  1.963      -21.0944
  1.990      -21.0944
  1.990      -21.0944
  2.013      -21.0944
  2.035      -21.0944
  2.058      -21.0944
  2.081      -21.0944
  2.103      -21.0944
  2.126      -21.0944
  2.148      -21.0944
  2.171      -21.0944
  2.194      -21.0944
  2.216      -21.0944
  2.239      -21.0944
  2.261      -21.0944
  2.284      -21.0944
  2.306      -21.0944
  2.329      -21.0944
  2.352      -21.0944
  2.374      -21.0944
  2.397      -21.0944
  2.419      -21.0944
  2.419      -21.0944
  2.435      -21.0944
  2.451      -21.0944
  2.467      -21.0944
  2.483      -21.0944
  2.499      -21.0944
  2.515      -21.0944
  2.531      -21.0944
  2.547      -21.0944
  2.563      -21.0944
  2.579      -21.0944
  2.595      -21.0944
  2.611      -21.0944
  2.627      -21.0944
  2.643      -21.0944
  2.659      -21.0944
  2.675      -21.0944
  2.691      -21.0944
  2.707      -21.0944
  2.723      -21.0944
#Band-index    4
  2.723      -21.0944
  2.707      -21.0944
  2.691      -21.0944
  2.675      -21.0944
  2.659      -21.0944
  2.643      -21.0944
  2.627      -21.0944
  2.611      -21.0944
  2.595      -21.0944
  2.579      -21.0944
  2.563      -21.0944
  2.547      -21.0944
  2.531      -21.0944
  2.515      -21.0944
  2.499      -21.0944
  2.483      -21.0944
  2.467      -21.0944
  2.451      -21.0944
  2.435      -21.0944
  2.419      -21.0944
  2.419      -21.0944
  2.397      -21.0944
  2.374      -21.0944
  2.352      -21.0944
  2.329      -21.0944
  2.306      -21.0944
  2.284      -21.0944
  2.261      -21.0944
  2.239      -21.0944
  2.216      -21.0944
  2.194      -21.0944
  2.171      -21.0944
  2.148      -21.0944
  2.126      -21.0944
  2.103      -21.0944
  2.081      -21.0944
  2.058      -21.0944
  2.035      -21.0944
  2.013      -21.0944
  1.990      -21.0944
  1.990      -21.0944
  1.963      -21.0944
  1.935      -21.0944
  1.907      -21.0944
  1.880      -21.0944
  1.852      -21.0944
  1.824      -21.0944
  1.797      -21.0944
  1.769      -21.0944
  1.741      -21.0944
  1.714      -21.0944
  1.686      -21.0944
  1.658      -21.0944
  1.631      -21.0944
  1.603      -21.0944
  1.575      -21.0944
  1.548      -21.0944
  1.520      -21.0944
  1.493      -21.0944
  1.465      -21.0944
  1.465      -21.0944
  1.431      -21.0944
  1.397      -21.0944
  1.363      -21.0943
  1.329      -21.0944
  1.295      -21.0944
  1.262      -21.0944
  1.228      -21.0944
  1.194      -21.0944
  1.160      -21.0944
  1.126      -21.0944
  1.092      -21.0944
  1.058      -21.0944
  1.025      -21.0944
  0.991      -21.0944
  0.957      -21.0944
  0.923      -21.0944
  0.889      -21.0944
  0.855      -21.0944
  0.821      -21.0944
  0.821      -21.0944
  0.810      -21.0944
  0.799      -21.0944
  0.787      -21.0944
  0.776      -21.0944
  0.765      -21.0944
  0.754      -21.0944
  0.742      -21.0944
  0.731      -21.0944
  0.720      -21.0944
  0.708      -21.0944
  0.697      -21.0944
  0.686      -21.0944
  0.675      -21.0944
  0.663      -21.0944
  0.652      -21.0944
  0.641      -21.0944
  0.629      -21.0944
  0.618      -21.0944
  0.607      -21.0944
  0.607      -21.0944
  0.575      -21.0944
  0.543      -21.0944
  0.511      -21.0944
  0.479      -21.0944
  0.447      -21.0944
  0.415      -21.0944
  0.383      -21.0944
  0.351      -21.0944
  0.319      -21.0944
  0.287      -21.0944
  0.255      -21.0944
  0.224      -21.0943
  0.192      -21.0944
  0.160      -21.0943
  0.128      -21.0943
  0.096      -21.0943
  0.064      -21.0944
  0.032      -21.0944
  0.000      -21.0944
#Band-index    5
  0.000      -20.0900
  0.032      -20.0900
  0.064      -20.0900
  0.096      -20.0900
  0.128      -20.0900
  0.160      -20.0900
  0.192      -20.0900
  0.224      -20.0900
  0.255      -20.0900
  0.287      -20.0900
  0.319      -20.0900
  0.351      -20.0900
  0.383      -20.0900
  0.415      -20.0900
  0.447      -20.0900
  0.479      -20.0901
  0.511      -20.0901
  0.543      -20.0901
  0.575      -20.0901
  0.607      -20.0901
  0.607      -20.0901
  0.618      -20.0901
  0.629      -20.0901
  0.641      -20.0901
  0.652      -20.0901
  0.663      -20.0901
  0.675      -20.0901
  0.686      -20.0901
  0.697      -20.0901
  0.708      -20.0901
  0.720      -20.0901
  0.731      -20.0901
  0.742      -20.0901
  0.754      -20.0900
  0.765      -20.0901
  0.776      -20.0901
  0.787      -20.0900
  0.799      -20.0900
  0.810      -20.0900
  0.821      -20.0901
  0.821      -20.0901
  0.855      -20.0900
  0.889      -20.0900
  0.923      -20.0900
  0.957      -20.0900
  0.991      -20.0900
  1.025      -20.0900
  1.058      -20.0900
  1.092      -20.0900
  1.126      -20.0900
  1.160      -20.0900
  1.194      -20.0900
  1.228      -20.0900
  1.262      -20.0900
  1.295      -20.0900
  1.329      -20.0900
  1.363      -20.0900
  1.397      -20.0900
  1.431      -20.0900
  1.465      -20.0900
  1.465      -20.0900
  1.493      -20.0900
  1.520      -20.0900
  1.548      -20.0900
  1.575      -20.0900
  1.603      -20.0900
  1.631      -20.0900
  1.658      -20.0900
  1.686      -20.0900
  1.714      -20.0900
  1.741      -20.0900
  1.769      -20.0900
  1.797      -20.0900
  1.824      -20.0900
  1.852      -20.0900
  1.880      -20.0900
  1.907      -20.0900
  1.935      -20.0900
  1.963      -20.0900
  1.990      -20.0900
  1.990      -20.0900
  2.013      -20.0900
  2.035      -20.0900
  2.058      -20.0900
  2.081      -20.0900
  2.103      -20.0900
  2.126      -20.0900
  2.148      -20.0900
  2.171      -20.0900
  2.194      -20.0900
  2.216      -20.0900
  2.239      -20.0900
  2.261      -20.0900
  2.284      -20.0900
  2.306      -20.0900
  2.329      -20.0900
  2.352      -20.0900
  2.374      -20.0900
  2.397      -20.0900
  2.419      -20.0900
  2.419      -20.0900
  2.435      -20.0900
  2.451      -20.0900
  2.467      -20.0900
  2.483      -20.0900
  2.499      -20.0900
  2.515      -20.0900
  2.531      -20.0900
  2.547      -20.0901
  2.563      -20.0901
  2.579      -20.0901
  2.595      -20.0901
  2.611      -20.0901
  2.627      -20.0901
  2.643      -20.0901
  2.659      -20.0901
  2.675      -20.0901
  2.691      -20.0901
  2.707      -20.0901
  2.723      -20.0901
#Band-index    6
  2.723      -20.0901
  2.707      -20.0901
  2.691      -20.0901
  2.675      -20.0901
  2.659      -20.0901
  2.643      -20.0901
  2.627      -20.0901
  2.611      -20.0901
  2.595      -20.0901
  2.579      -20.0901
  2.563      -20.0901
  2.547      -20.0901
  2.531      -20.0900
  2.515      -20.0900
  2.499      -20.0900
  2.483      -20.0900
  2.467      -20.0900
  2.451      -20.0900
  2.435      -20.0900
  2.419      -20.0900
  2.419      -20.0900
  2.397      -20.0900
  2.374      -20.0900
  2.352      -20.0900
  2.329      -20.0900
  2.306      -20.0900
  2.284      -20.0900
  2.261      -20.0900
  2.239      -20.0900
  2.216      -20.0900
  2.194      -20.0900
  2.171      -20.0900
  2.148      -20.0900
  2.126      -20.0900
  2.103      -20.0900
  2.081      -20.0900
  2.058      -20.0900
  2.035      -20.0900
  2.013      -20.0900
  1.990      -20.0900
  1.990      -20.0900
  1.963      -20.0900
  1.935      -20.0900
  1.907      -20.0900
  1.880      -20.0900
  1.852      -20.0900
  1.824      -20.0900
  1.797      -20.0900
  1.769      -20.0900
  1.741      -20.0900
  1.714      -20.0900
  1.686      -20.0900
  1.658      -20.0900
  1.631      -20.0900
  1.603      -20.0900
  1.575      -20.0900
  1.548      -20.0900
  1.520      -20.0900
  1.493      -20.0900
  1.465      -20.0900
  1.465      -20.0900
  1.431      -20.0900
  1.397      -20.0900
  1.363      -20.0900
  1.329      -20.0900
  1.295      -20.0900
  1.262      -20.0900
  1.228      -20.0900
  1.194      -20.0900
  1.160      -20.0900
  1.126      -20.0900
  1.092      -20.0900
  1.058      -20.0900
  1.025      -20.0900
  0.991      -20.0900
  0.957      -20.0900
  0.923      -20.0900
  0.889      -20.0900
  0.855      -20.0900
  0.821      -20.0901
  0.821      -20.0901
  0.810      -20.0900
  0.799      -20.0900
  0.787      -20.0900
  0.776      -20.0901
  0.765      -20.0901
  0.754      -20.0900
  0.742      -20.0901
  0.731      -20.0901
  0.720      -20.0901
  0.708      -20.0901
  0.697      -20.0901
  0.686      -20.0901
  0.675      -20.0901
  0.663      -20.0901
  0.652      -20.0901
  0.641      -20.0901
  0.629      -20.0901
  0.618      -20.0901
  0.607      -20.0901
  0.607      -20.0901
  0.575      -20.0901
  0.543      -20.0901
  0.511      -20.0901
  0.479      -20.0901
  0.447      -20.0900
  0.415      -20.0900
  0.383      -20.0900
  0.351      -20.0900
  0.319      -20.0900
  0.287      -20.0900
  0.255      -20.0900
  0.224      -20.0900
