#K-Path     Energy-Level
#Band-index    1
  0.000      -34.8059
  0.031      -34.8059
  0.062      -34.8059
  0.093      -34.8059
  0.124      -34.8059
  0.155      -34.8059
  0.185      -34.8059
  0.216      -34.8059
  0.247      -34.8059
  0.278      -34.8059
  0.309      -34.8059
  0.340      -34.8059
  0.371      -34.8059
  0.402      -34.8059
  0.433      -34.8059
  0.464      -34.8059
  0.494      -34.8059
  0.525      -34.8059
  0.556      -34.8059
  0.587      -34.8059
  0.587      -34.8059
  0.598      -34.8059
  0.609      -34.8059
  0.620      -34.8059
  0.631      -34.8059
  0.642      -34.8059
  0.653      -34.8059
  0.664      -34.8059
  0.675      -34.8059
  0.686      -34.8059
  0.696      -34.8059
  0.707      -34.8059
  0.718      -34.8059
  0.729      -34.8059
  0.740      -34.8059
  0.751      -34.8059
  0.762      -34.8059
  0.773      -34.8059
  0.784      -34.8059
  0.795      -34.8059
  0.795      -34.8059
  0.828      -34.8059
  0.860      -34.8059
  0.893      -34.8059
  0.926      -34.8059
  0.959      -34.8059
  0.991      -34.8059
  1.024      -34.8059
  1.057      -34.8059
  1.090      -34.8059
  1.123      -34.8059
  1.155      -34.8059
  1.188      -34.8059
  1.221      -34.8059
  1.254      -34.8059
  1.286      -34.8059
  1.319      -34.8059
  1.352      -34.8059
  1.385      -34.8059
  1.418      -34.8059
  1.418      -34.8059
  1.444      -34.8059
  1.471      -34.8059
  1.498      -34.8059
  1.525      -34.8059
  1.551      -34.8059
  1.578      -34.8059
  1.605      -34.8059
  1.632      -34.8059
  1.658      -34.8059
  1.685      -34.8059
  1.712      -34.8059
  1.739      -34.8059
  1.765      -34.8059
  1.792      -34.8059
  1.819      -34.8059
  1.846      -34.8059
  1.873      -34.8059
  1.899      -34.8059
  1.926      -34.8059
  1.926      -34.8059
  1.948      -34.8059
  1.970      -34.8059
  1.992      -34.8059
  2.013      -34.8059
  2.035      -34.8059
  2.057      -34.8059
  2.079      -34.8059
  2.101      -34.8059
  2.123      -34.8059
  2.145      -34.8059
  2.166      -34.8059
  2.188      -34.8059
  2.210      -34.8059
  2.232      -34.8059
  2.254      -34.8059
  2.276      -34.8059
  2.298      -34.8059
  2.319      -34.8059
  2.341      -34.8059
  2.341      -34.8059
  2.357      -34.8059
  2.372      -34.8059
  2.388      -34.8059
  2.403      -34.8059
  2.419      -34.8059
  2.434      -34.8059
  2.449      -34.8059
  2.465      -34.8059
  2.480      -34.8059
  2.496      -34.8059
  2.511      -34.8059
  2.527      -34.8059
  2.542      -34.8059
  2.558      -34.8059
  2.573      -34.8059
  2.588      -34.8059
  2.604      -34.8059
  2.619      -34.8059
  2.635      -34.8059
#Band-index    2
  2.635      -34.8059
  2.619      -34.8059
  2.604      -34.8059
  2.588      -34.8059
  2.573      -34.8059
  2.558      -34.8059
  2.542      -34.8059
  2.527      -34.8059
  2.511      -34.8059
  2.496      -34.8059
  2.480      -34.8059
  2.465      -34.8059
  2.449      -34.8059
  2.434      -34.8059
  2.419      -34.8059
  2.403      -34.8059
  2.388      -34.8059
  2.372      -34.8059
  2.357      -34.8059
  2.341      -34.8059
  2.341      -34.8059
  2.319      -34.8059
  2.298      -34.8059
  2.276      -34.8059
  2.254      -34.8059
  2.232      -34.8059
  2.210      -34.8059
  2.188      -34.8059
  2.166      -34.8059
  2.145      -34.8059
  2.123      -34.8059
  2.101      -34.8059
  2.079      -34.8059
  2.057      -34.8059
  2.035      -34.8059
  2.013      -34.8059
  1.992      -34.8059
  1.970      -34.8059
  1.948      -34.8059
  1.926      -34.8059
  1.926      -34.8059
  1.899      -34.8059
  1.873      -34.8059
  1.846      -34.8059
  1.819      -34.8059
  1.792      -34.8059
  1.765      -34.8059
  1.739      -34.8059
  1.712      -34.8059
  1.685      -34.8059
  1.658      -34.8059
  1.632      -34.8059
  1.605      -34.8059
  1.578      -34.8059
  1.551      -34.8059
  1.525      -34.8059
  1.498      -34.8059
  1.471      -34.8059
  1.444      -34.8059
  1.418      -34.8059
  1.418      -34.8059
  1.385      -34.8059
  1.352      -34.8059
  1.319      -34.8059
  1.286      -34.8059
  1.254      -34.8059
  1.221      -34.8059
  1.188      -34.8059
  1.155      -34.8059
  1.123      -34.8059
  1.090      -34.8059
  1.057      -34.8059
  1.024      -34.8059
  0.991      -34.8059
  0.959      -34.8059
  0.926      -34.8059
  0.893      -34.8059
  0.860      -34.8059
  0.828      -34.8059
  0.795      -34.8059
  0.795      -34.8059
  0.784      -34.8059
  0.773      -34.8059
  0.762      -34.8059
  0.751      -34.8059
  0.740      -34.8059
  0.729      -34.8059
  0.718      -34.8059
  0.707      -34.8059
  0.696      -34.8059
  0.686      -34.8059
  0.675      -34.8059
  0.664      -34.8059
  0.653      -34.8059
  0.642      -34.8059
  0.631      -34.8059
  0.620      -34.8059
  0.609      -34.8059
  0.598      -34.8059
  0.587      -34.8059
  0.587      -34.8059
  0.556      -34.8059
  0.525      -34.8059
  0.494      -34.8059
  0.464      -34.8059
  0.433      -34.8059
  0.402      -34.8059
  0.371      -34.8059
  0.340      -34.8059
  0.309      -34.8059
  0.278      -34.8059
  0.247      -34.8059
  0.216      -34.8059
  0.185      -34.8059
  0.155      -34.8059
  0.124      -34.8059
  0.093      -34.8059
  0.062      -34.8059
  0.031      -34.8059
  0.000      -34.8059
#Band-index    3
  0.000      -27.8488
  0.031      -27.8487
  0.062      -27.8487
  0.093      -27.8488
  0.124      -27.8487
  0.155      -27.8487
