#K-Path     Energy-Level
#Band-index    1
  0.000      -48.1824
  0.032      -48.1824
  0.063      -48.1824
  0.095      -48.1824
  0.127      -48.1824
  0.159      -48.1824
  0.190      -48.1824
  0.222      -48.1824
  0.254      -48.1824
  0.285      -48.1824
  0.317      -48.1824
  0.349      -48.1824
  0.381      -48.1824
  0.412      -48.1824
  0.444      -48.1824
  0.476      -48.1824
  0.507      -48.1824
  0.539      -48.1824
  0.571      -48.1824
  0.603      -48.1824
  0.603      -48.1824
  0.614      -48.1824
  0.625      -48.1824
  0.636      -48.1824
  0.647      -48.1824
  0.659      -48.1824
  0.670      -48.1824
  0.681      -48.1824
  0.692      -48.1824
  0.703      -48.1824
  0.715      -48.1824
  0.726      -48.1824
  0.737      -48.1824
  0.748      -48.1824
  0.759      -48.1824
  0.771      -48.1824
  0.782      -48.1824
  0.793      -48.1824
  0.804      -48.1824
  0.816      -48.1824
  0.816      -48.1824
  0.849      -48.1824
  0.883      -48.1824
  0.916      -48.1824
  0.950      -48.1824
  0.984      -48.1824
  1.017      -48.1824
  1.051      -48.1824
  1.085      -48.1824
  1.118      -48.1824
  1.152      -48.1824
  1.185      -48.1824
  1.219      -48.1824
  1.253      -48.1824
  1.286      -48.1824
  1.320      -48.1824
  1.354      -48.1824
  1.387      -48.1824
  1.421      -48.1824
  1.455      -48.1824
  1.455      -48.1824
  1.482      -48.1824
  1.509      -48.1824
  1.537      -48.1824
  1.564      -48.1824
  1.592      -48.1824
  1.619      -48.1824
  1.647      -48.1824
  1.674      -48.1824
  1.702      -48.1824
  1.729      -48.1824
  1.757      -48.1824
  1.784      -48.1824
  1.812      -48.1824
  1.839      -48.1824
  1.866      -48.1825
  1.894      -48.1824
  1.921      -48.1824
  1.949      -48.1824
  1.976      -48.1824
  1.976      -48.1824
  1.999      -48.1824
  2.021      -48.1824
  2.044      -48.1824
  2.066      -48.1824
  2.088      -48.1824
  2.111      -48.1824
  2.133      -48.1824
  2.156      -48.1824
  2.178      -48.1824
  2.201      -48.1824
  2.223      -48.1824
  2.245      -48.1824
  2.268      -48.1824
  2.290      -48.1824
  2.313      -48.1824
  2.335      -48.1824
  2.358      -48.1824
  2.380      -48.1824
  2.402      -48.1824
  2.402      -48.1824
  2.418      -48.1824
  2.434      -48.1824
  2.450      -48.1824
  2.466      -48.1824
  2.482      -48.1824
  2.498      -48.1824
  2.513      -48.1824
  2.529      -48.1824
  2.545      -48.1824
  2.561      -48.1824
  2.577      -48.1824
  2.593      -48.1824
  2.609      -48.1824
  2.624      -48.1824
  2.640      -48.1824
  2.656      -48.1824
  2.672      -48.1824
  2.688      -48.1824
  2.704      -48.1824
#Band-index    2
  2.704      -48.1824
  2.688      -48.1824
  2.672      -48.1824
  2.656      -48.1824
  2.640      -48.1824
  2.624      -48.1824
  2.609      -48.1824
  2.593      -48.1824
  2.577      -48.1824
  2.561      -48.1824
  2.545      -48.1824
  2.529      -48.1824
  2.513      -48.1824
  2.498      -48.1824
  2.482      -48.1824
  2.466      -48.1824
  2.450      -48.1824
  2.434      -48.1824
  2.418      -48.1824
  2.402      -48.1824
  2.402      -48.1824
  2.380      -48.1824
  2.358      -48.1824
  2.335      -48.1824
  2.313      -48.1824
  2.290      -48.1824
  2.268      -48.1824
  2.245      -48.1824
  2.223      -48.1824
  2.201      -48.1824
  2.178      -48.1824
  2.156      -48.1824
  2.133      -48.1824
  2.111      -48.1824
  2.088      -48.1824
  2.066      -48.1824
  2.044      -48.1824
  2.021      -48.1824
  1.999      -48.1824
  1.976      -48.1824
  1.976      -48.1824
  1.949      -48.1824
  1.921      -48.1824
  1.894      -48.1824
  1.866      -48.1824
  1.839      -48.1824
  1.812      -48.1824
  1.784      -48.1824
  1.757      -48.1824
  1.729      -48.1824
  1.702      -48.1824
  1.674      -48.1824
  1.647      -48.1824
  1.619      -48.1824
  1.592      -48.1824
  1.564      -48.1824
  1.537      -48.1824
  1.509      -48.1824
  1.482      -48.1824
  1.455      -48.1824
  1.455      -48.1824
  1.421      -48.1824
  1.387      -48.1824
  1.354      -48.1824
  1.320      -48.1824
  1.286      -48.1824
  1.253      -48.1824
  1.219      -48.1824
  1.185      -48.1824
  1.152      -48.1824
  1.118      -48.1824
  1.085      -48.1824
  1.051      -48.1824
  1.017      -48.1824
  0.984      -48.1824
  0.950      -48.1824
  0.916      -48.1824
  0.883      -48.1824
  0.849      -48.1824
  0.816      -48.1824
  0.816      -48.1824
  0.804      -48.1824
  0.793      -48.1824
  0.782      -48.1824
  0.771      -48.1824
  0.759      -48.1824
  0.748      -48.1824
  0.737      -48.1824
  0.726      -48.1824
  0.715      -48.1824
  0.703      -48.1824
  0.692      -48.1824
  0.681      -48.1824
  0.670      -48.1824
  0.659      -48.1824
  0.647      -48.1824
  0.636      -48.1824
  0.625      -48.1824
  0.614      -48.1824
  0.603      -48.1824
  0.603      -48.1824
  0.571      -48.1824
  0.539      -48.1824
  0.507      -48.1824
  0.476      -48.1824
  0.444      -48.1824
  0.412      -48.1824
  0.381      -48.1824
  0.349      -48.1824
  0.317      -48.1824
  0.285      -48.1824
  0.254      -48.1824
  0.222      -48.1824
  0.190      -48.1824
  0.159      -48.1824
  0.127      -48.1824
  0.095      -48.1824
  0.063      -48.1824
  0.032      -48.1824
  0.000      -48.1824
#Band-index    3
  0.000      -27.3549
  0.032      -27.3549
  0.063      -27.3549
  0.095      -27.3550
  0.127      -27.3549
  0.159      -27.3550
  0.190      -27.3550
  0.222      -27.3550
  0.254      -27.3550
  0.285      -27.3550
  0.317      -27.3550
  0.349      -27.3550
  0.381      -27.3550
  0.412      -27.3551
  0.444      -27.3550
  0.476      -27.3550
  0.507      -27.3551
  0.539      -27.3550
  0.571      -27.3550
  0.603      -27.3550
  0.603      -27.3550
  0.614      -27.3550
  0.625      -27.3550
  0.636      -27.3550
  0.647      -27.3550
  0.659      -27.3550
  0.670      -27.3550
  0.681      -27.3551
  0.692      -27.3551
  0.703      -27.3550
  0.715      -27.3550
  0.726      -27.3551
  0.737      -27.3550
  0.748      -27.3550
  0.759      -27.3550
  0.771      -27.3551
  0.782      -27.3551
  0.793      -27.3551
  0.804      -27.3551
  0.816      -27.3551
  0.816      -27.3551
  0.849      -27.3551
  0.883      -27.3551
  0.916      -27.3551
  0.950      -27.3551
  0.984      -27.3551
  1.017      -27.3551
  1.051      -27.3551
  1.085      -27.3550
  1.118      -27.3550
  1.152      -27.3550
  1.185      -27.3550
  1.219      -27.3550
  1.253      -27.3550
  1.286      -27.3550
  1.320      -27.3550
  1.354      -27.3550
  1.387      -27.3549
  1.421      -27.3549
  1.455      -27.3549
  1.455      -27.3549
  1.482      -27.3549
  1.509      -27.3549
  1.537      -27.3550
  1.564      -27.3549
  1.592      -27.3550
  1.619      -27.3550
  1.647      -27.3550
  1.674      -27.3550
  1.702      -27.3550
  1.729      -27.3550
  1.757      -27.3550
  1.784      -27.3550
  1.812      -27.3550
  1.839      -27.3550
  1.866      -27.3551
  1.894      -27.3550
  1.921      -27.3550
  1.949      -27.3550
  1.976      -27.3551
