Cl,Cs,Zr
-2.240801347619973,-2.657888190686083,-2.67824602833007
-2.011858453359338,-3.040706233083625,-3.286267309098796
-2.033797287063079,-2.9727111713216736,-3.290624430400254
-1.8094861206685275,-2.8226305970877696,-4.936652577235369
-1.8727163367012238,-2.784996386041105,-4.632539703132523
-1.544654115147294,-3.0387924836207967,-6.093320837296718
-1.8769378912640895,-2.7588339039370697,-4.659535339963399
-1.8534518397274018,-2.8131325511464143,-4.691854354764836
-1.6959628670514797,-3.3925431745111614,-4.477966944090873
-1.8918617341993151,-3.039479342032168,-4.0087014061618484
-1.608249617037617,-3.3896437712104084,-5.010045250775556
-1.348803956874993,-3.4017296357002706,-6.542547482771576
-1.1934731062455757,-3.6440183477181756,-6.989955162512268
-0.8916159627621979,-4.1770692970168355,-7.734996124815215
-1.0072852641750136,-3.8214442257453274,-7.752230458881337
-1.2888170067248355,-3.2994748423389546,-7.106978770395151
-1.5572186328083673,-3.4849911439049603,-5.12553641076195
-1.3686574007863652,-3.225883347413795,-6.7751193958762945
-1.4200922180231392,-3.1043357313466666,-6.709605724589906
-1.332535755202905,-3.668698226410173,-6.106219511384298
-1.6093724960435876,-3.1497532422774936,-5.4830890346055625
-1.5795742663901875,-3.383296283196672,-5.194792330687606
-1.4958793270064485,-3.5680604810552654,-5.327433571272854
-1.7008266505074447,-2.889428724972601,-5.455013142432205
-1.5917941039141752,-3.26005011479856,-5.367965642339906
-1.8638827099610886,-2.7100767943166093,-4.835380647022326
-1.8860876605706984,-3.141493903918829,-3.839316724160224
-1.5980348804028788,-3.290578508591158,-5.269464195822485
-1.6709752306388783,-3.1920909376895166,-5.02879723620977
-1.6726900573166423,-2.8561205417510256,-5.690449068020169
-1.8176533904970473,-2.9034118340535455,-4.726086484332701
-2.0508644353858783,-2.666960025293171,-3.799723832520464
-2.4041880106253832,-2.359836206199762,-2.2940300192702527
-2.443467130088892,-2.348164170598969,-2.081699373690784
-2.4209392463627597,-2.321974743521404,-2.269245530202709
-2.4770965958349356,-2.203929924741133,-2.1683910709301957
-2.228711687921614,-2.559665244124014,-2.947229879644364
-2.39289741821178,-2.1774703901451526,-2.7265052058610912
-2.316659463626914,-2.676490111543715,-2.1858934905731586
-2.2512056883013156,-2.7824452571941345,-2.366705851225912
-2.085956993390458,-2.504259241942156,-3.914570051195016
-2.174187928077665,-2.4043030347503582,-3.5850968574553708
-2.513867770360543,-2.467424365657214,-1.4207751419443855
-2.6016681718604544,-2.1062344236110317,-1.6163526170372848
-2.9326948333168317,-1.6152583864506926,-0.6121447226197008
-2.6144070204780863,-2.169189375913671,-1.414009620726214
-2.5416795974300257,-2.395519453844869,-1.3977140031521813
-2.4060897833558514,-2.191202722659335,-2.6198863499682963
-2.465474493830857,-2.3266543244721354,-1.9926748834926635
-2.111929049840506,-2.8992871293920586,-2.9686819375949227
-1.8554649948700463,-2.919447958529945,-4.467144609141907
-1.7534567134474563,-3.1337578413881477,-4.65057453196104
-1.8351919916715649,-2.868725125534083,-4.690228294324521
-1.9603084284093555,-2.9081896922480057,-3.860600540469929
-1.661408865452571,-3.273857534979669,-4.922662232747312
-1.5176154579752816,-3.1200920143350177,-6.092953718900349
-1.1924997007187408,-3.5131104556093455,-7.257611379890938
-1.4544188006501808,-3.0922175310840947,-6.527882629352799
-1.5328934307809963,-3.3298821087555894,-5.581705693224919
-1.5450349535045595,-2.983144983228403,-6.202330807937913
-1.6751057867925878,-3.0944098028131686,-5.199376169040209
-1.636889248415686,-3.217786989826957,-5.181921025274044
-1.667990270758611,-3.168963437644672,-5.092961995581066
-1.470775601226662,-3.2742260876989207,-6.06572471266426
-1.7803536833105842,-2.893539467305254,-4.969629460948063
-1.5240989598739685,-3.5618112858210047,-5.1706141645362536
-1.8349521934903592,-3.0615946271648817,-4.305928080150156
-1.681645374524313,-3.343496101749394,-4.661966044777409
-1.731206210325427,-3.2305170328073314,-4.590559167854849
-1.7123614941980483,-2.945723258560173,-5.273215013113439
-1.7861461609955498,-3.1826734389174796,-4.356606651613817
-1.8837869273842742,-2.977758618931766,-4.180591693252898
-1.9211725365411503,-2.7470829457958588,-4.417629384583454
-2.1976344856990844,-2.337495968789626,-3.578031643648316
-2.3768989514144634,-2.2209804337334704,-2.7354759194683527
-2.2602325410708315,-2.7043504397741303,-2.4687343694488253
-2.5818904568547945,-2.1917546844788984,-1.5639783853355105
-2.2958154520727896,-2.7093896026092996,-2.245158577766737
-2.3855440984191256,-2.1894208093816103,-2.7467242861441004
-2.147275326926437,-2.85866407382135,-2.8378503862207514
-2.405105656514006,-2.376682940751416,-2.254830674835206
-2.239351756299253,-2.349714090204276,-3.303291777218004
-1.9268903786597498,-2.7127430462563633,-4.452002130950848
-1.6987250104222147,-3.117256527830789,-5.011967377227209
-1.941553607149088,-2.810686983918014,-4.16813488469152
-1.9880832941730437,-2.795323773704464,-3.9196831829748855
-1.800701150155456,-3.202820199700617,-4.228983195088105
-1.5250973556564689,-3.4755577252247387,-5.337130911033784
-1.8041104098105023,-3.2065422583087484,-4.201083519941565
-1.9190141387906285,-2.6867375169846883,-4.551270628708926
-2.2538903046126384,-2.6373833180795736,-2.640722031587097
-2.2596130502021397,-2.6673049899908405,-2.546542214227558
-2.282214868424186,-2.5998136467645314,-2.545913991347897
-2.2487941188299554,-2.70071893852613,-2.5446279053900835
-2.271286624570408,-2.792601958063443,-2.225906831872737
-2.4349807129021017,-2.14834969446388,-2.532246829081704
-2.329616429731492,-2.18161024656793,-3.0979114238972634
-2.357303321698781,-2.5999672562202645,-2.0950760527888623
-2.437225905442195,-2.1438448860492367,-2.52778529067043
-2.3347190572247314,-2.2692282986109533,-2.8920595548517785
-2.3232363850134905,-2.204394404525398,-3.0906233762903352
-2.311810120524881,-2.543896001256569,-2.4801777697596497
-2.5062267607838944,-2.3694049398522457,-1.6626600510142158
-2.7851623632003077,-1.9808471769221632,-0.7661619623759033
-2.6058176840198666,-2.1917080311553168,-1.4205083289922402
-2.3550304827265225,-2.4576797587079944,-2.393288081646951
-2.476949374904236,-2.1057926924784147,-2.3655488610398305
-2.655249787799679,-2.178183833308483,-1.1509641020070356
-2.518491359453061,-2.362884422411789,-1.602113493880133
-2.4624916361974045,-2.1860515157310108,-2.291777646775626
-2.439348783097892,-2.592311199282318,-1.618115398270087
-2.644321758964356,-2.141473848902834,-1.2899522438302706
-2.307346213332294,-2.486553022577846,-2.6216471702726207
-2.0423224655935153,-2.6159525048750396,-3.952990692110904
-1.9025223059196128,-3.015282107761944,-3.99313244438051
-2.0087933185041464,-2.633093522688503,-4.119883539020191
-1.9868040371945184,-2.5719288933591677,-4.37414848553663
-1.9634605802985976,-2.7452588582191586,-4.167549297192173
-1.8071509345725074,-3.017090477988125,-4.5617439320107795
-1.8591868078963556,-3.0532075224783304,-4.17729460308728
-1.5575068942165728,-3.363164002025898,-5.367461126070842
-1.5487691729514241,-3.3700279175781724,-5.406159622557184
-1.1965546097807707,-3.6833591463998623,-6.892784543937725
-0.938865653616598,-3.7166866354830463,-8.372263302756393
-0.8969506382827467,-4.165089129071479,-7.726948407582637
-1.2443273406058533,-3.543788887156387,-6.885288677474181
-1.4763549356799952,-3.1275374032575463,-6.325626074827011
-1.4011332952570235,-3.6439433247946025,-5.7441440742907295
-1.145373512017592,-3.3736098846616827,-7.819369653993157
-1.3168462718114409,-3.2951310892397476,-6.947490686073934
-1.1591112121442424,-3.4796588729147806,-7.52484547672706
-1.3019449944471284,-3.6212421328909867,-6.384676262957331
-1.5498361005645929,-3.5103912115961875,-5.11903146884214
-1.7658558376840758,-2.81337235900379,-5.216950751310041
-1.623308161887013,-2.991406026958557,-5.716169470182881
-1.5792403547252027,-3.297452148297954,-5.368484070474949
-1.6997810940767577,-2.8311354684102903,-5.57787299414095
-1.4864733035240842,-3.068110118228874,-6.383770437819821
-1.324403511198598,-3.7346597521553493,-6.0230899239197875
-1.5513372078090184,-3.2997140496929416,-5.53137914918208
-1.3920954873317175,-3.656659579678342,-5.772938412075084
-1.3705625176052518,-3.209502376323756,-6.796450637143054
-1.169954958613199,-3.55200553553335,-7.315089672676182
-1.164535183172778,-3.6747976390595327,-7.102024118266341
-1.2652015807571289,-3.3425918115311846,-7.162437387816931
-1.1129966518563266,-3.931102931884695,-6.898644720514727
-1.032432096490376,-3.7827382898529702,-7.678761336773878
-1.0706734569091818,-3.913086221200893,-7.188617311565198
-1.0308286914446103,-3.6778289822755723,-7.89820038220327
-1.1805771357576438,-3.595144094957156,-7.165079490961902
-0.9095798058390675,-3.7992754501660153,-8.38280076005564
-0.7749241807796338,-3.843763881868516,-9.10175764700724
-0.7076432628212344,-4.069461439532186,-9.054048039430297
-0.8649219622317995,-4.11040946341825,-8.028479795194777
-1.0760882932753861,-3.6196199709065886,-7.743060793956581
-1.0607508975291986,-3.660858401755138,-7.752608306736607
-1.0293208836352914,-3.7465592819853875,-7.769786629639553
-1.243129588271396,-3.4304221904813423,-7.119208584831014
-1.443366909110817,-3.634041188669553,-5.510546663418067
-1.1951831412655642,-3.8877203816480472,-6.492290884532596
-1.4816982203789428,-3.2026949968902008,-6.143251179368015
-1.4932875846679656,-3.2004929970905707,-6.078118993233141
-1.3252855130643157,-3.4865100157102886,-6.514097385615604
-1.3567002721306691,-3.5950961932999297,-6.108436476038201
-1.0515645285027169,-3.7188561120850827,-7.691731100235606
-1.2806281343035362,-3.5290302391873505,-6.697001211226158
-1.228083124343941,-3.8103384224971157,-6.449654904364198
-0.9255276352432982,-4.007394552057676,-7.870875579846934
-1.1259819742267108,-3.3849729767758703,-7.912992696510071
-0.9203301825217988,-3.8712807535434304,-8.17428789320442
-1.069740521008704,-3.8496509493788724,-7.321085470612103
-1.4110868869902018,-3.54520725010503,-5.881894673270803
-1.5975432484982892,-2.9598371868561557,-5.933896630720029
-1.4859830909482106,-3.585642261426579,-5.351647426879653
-1.3221814022554303,-3.351753455123561,-6.80223517164237
-1.4827967901165824,-3.4960113530342243,-5.550027048654133
-1.3573499586640083,-3.3037770606625565,-6.687176622112911
-1.6418200336898194,-3.2694933226121945,-5.04892364805877
-1.6410659465301203,-3.4170505961308364,-4.758333623979681
-1.653509078430159,-3.3504281148070865,-4.816919795226947
-1.4406362757817395,-3.1801962539390183,-6.434620332853602
-1.7277266053874407,-3.0867257746155876,-4.899019313866255
-1.6463707940866323,-3.382849531584408,-4.794906667733466
-1.7582392393206963,-2.9303456374682035,-5.02870378456149
-1.7766507582833762,-2.8778540702456046,-5.023217805230608
-2.0428754812280996,-2.626620216063254,-3.9283371759269716
-2.2379229473140247,-2.2953160091566516,-3.4206607932246254
-2.2973878381832624,-2.700111450420558,-2.2542805654813853
-2.6359504851171467,-2.2142654387656004,-1.194596707187994
-2.5624120616341046,-2.396210799137029,-1.2719365273433905
-2.2784689136557077,-2.616641770040721,-2.5347334734063867
-2.0862047299211555,-2.4303358203261647,-4.060930475242813
-2.1682476576493257,-2.719210547428384,-2.9909234546693533
-1.9511409663366168,-2.7684651708069117,-4.195054355788551
-1.9250810532367784,-3.1496039847334383,-3.589136206534528
-2.0608803542687673,-3.026210556454131,-3.02112725690121
-1.7282116149380993,-3.0453268823816475,-4.978907041030182
-1.7479435287750873,-3.0560166745106407,-4.8391359737502695
-1.4043932605465843,-3.109447217613387,-6.7935764969157955
-1.6951720469211344,-2.998260550119714,-5.271277113655839
-1.7858170156364581,-2.9427249892509817,-4.838478423101363
-1.7910284492752713,-2.76323258023447,-5.166194639301506
-1.9834147562460358,-2.8520911430323683,-3.8341596718811233
-1.6962198748857333,-2.8818785567410177,-5.497754132625639
-1.8937750163403508,-2.973109457109679,-4.129961483160612
-1.9653057862047785,-2.863103943876881,-3.920787890439642
-2.0072342029390287,-2.644719253192097,-4.105986771403709
-2.2957104275895284,-2.495062564760183,-2.6744428003645404
-2.3674379455014787,-2.583471599855047,-2.0672596227031077
-2.6030489181100016,-2.0804586442927695,-1.6596196981765254
-2.9214328240001297,-1.61537035310673,-0.6794928452078367
-2.878532691799399,-1.6565027024688799,-0.8546289396879204
-2.645061004724637,-2.0084509998367746,-1.5515624674007031
-2.4479501037407,-2.4606713549477295,-1.8297871630824145
-2.529384422466982,-2.223033728551223,-1.816456503517737
-2.5225237550363677,-2.334644904943816,-1.6343981553162379
-2.5185733872473963,-2.0614795851104812,-2.204431001716736
-2.6728245534151696,-2.2843650622835106,-0.8331530503640366
-2.3523975266853325,-2.1760104806171565,-2.972424374075767
-2.637945232211827,-2.113521094330258,-1.3841169134905995
-2.3533666885267492,-2.626526889746167,-2.0655765847692464
-2.198020585400229,-2.453265239223045,-3.344176504574612
-2.4100107407928117,-2.129123621293281,-2.720518808078642
-2.634426038840402,-2.0547739445795528,-1.5227263732205587
-2.4935886311785005,-2.508595963957514,-1.4601067804360448
-2.7852860372493087,-2.0132382030200775,-0.700637865886069
-2.5161961324806112,-2.362976377923922,-1.6157009446905635
-2.1847744848712876,-2.6974350346513933,-2.9353135168915636
-2.4043712194952516,-2.1697312183693933,-2.673140741711779
-2.7458281789937082,-2.080578397454922,-0.8027046265499815
-2.8189239952606933,-1.9886254878304233,-0.548035548197068
-2.5357412770319283,-2.313094295784082,-1.5981942416623405
-2.6545199298216087,-2.126717389789357,-1.258276136913709
-2.702826251530589,-1.9484222459881977,-1.3250284942621433
-2.440820587262226,-2.090111494199745,-2.6136839834492283
-2.3159417890079994,-2.6100337661176884,-2.323112229138703
