       #Distance (in Angstrom), Planar Average-Potential (in eV) or -Densitiy (in e/A)
  0.0000    0.37635408E+01
  0.1002    0.27336033E+01
  0.2004    0.11986314E+01
  0.3006   -0.74874835E+00
  0.4008   -0.28397234E+01
  0.5011   -0.48903582E+01
  0.6013   -0.67806355E+01
  0.7015   -0.84195028E+01
  0.8017   -0.96570950E+01
  0.9019   -0.10312117E+02
  1.0021   -0.10239864E+02
  1.1023   -0.95392175E+01
  1.2025   -0.87441771E+01
  1.3027   -0.82051318E+01
  1.4029   -0.79376839E+01
  1.5032   -0.76098271E+01
  1.6034   -0.71257534E+01
  1.7036   -0.68144989E+01
  1.8038   -0.68370933E+01
  1.9040   -0.71950187E+01
  2.0042   -0.77240760E+01
  2.1044   -0.80955002E+01
  2.2046   -0.83981049E+01
  2.3048   -0.89621713E+01
  2.4050   -0.97669578E+01
  2.5053   -0.10466560E+02
  2.6055   -0.10529473E+02
  2.7057   -0.98677645E+01
  2.8059   -0.86310644E+01
  2.9061   -0.70123603E+01
  3.0063   -0.51682327E+01
  3.1065   -0.32116351E+01
  3.2067   -0.12862557E+01
  3.3069    0.37566832E+00
  3.4071    0.14694717E+01
  3.5074    0.18604295E+01
  3.6076    0.14793541E+01
  3.7078    0.39538699E+00
  3.8080   -0.12569470E+01
  3.9082   -0.31732537E+01
  4.0084   -0.51220861E+01
  4.1086   -0.69604882E+01
  4.2088   -0.85764990E+01
  4.3090   -0.98137688E+01
  4.4092   -0.10479834E+02
  4.5095   -0.10425212E+02
  4.6097   -0.97390282E+01
  4.7099   -0.89533536E+01
  4.8101   -0.84150362E+01
  4.9103   -0.81438154E+01
  5.0105   -0.78077396E+01
  5.1107   -0.73134265E+01
  5.2109   -0.69857753E+01
  5.3111   -0.69855381E+01
  5.4113   -0.73123008E+01
  5.5116   -0.78065867E+01
  5.6118   -0.81422330E+01
  5.7120   -0.84139384E+01
  5.8122   -0.89529491E+01
  5.9124   -0.97409233E+01
  6.0126   -0.10429583E+02
  6.1128   -0.10487661E+02
  6.2130   -0.98246592E+01
  6.3132   -0.85910450E+01
  6.4134   -0.69777442E+01
  6.5137   -0.51420928E+01
  6.6139   -0.31948723E+01
  6.7141   -0.12801384E+01
  6.8143    0.37241128E+00
  6.9145    0.14577379E+01
  7.0147    0.18428199E+01
  7.1149    0.14572572E+01
  7.2151    0.37143474E+00
  7.3153   -0.12815847E+01
  7.4155   -0.31967437E+01
  7.5158   -0.51443142E+01
  7.6160   -0.69802723E+01
  7.7162   -0.85937583E+01
  7.8164   -0.98274500E+01
  7.9166   -0.10490364E+02
  8.0168   -0.10432102E+02
  8.1170   -0.97430639E+01
  8.2172   -0.89545833E+01
  8.3174   -0.84148771E+01
  8.4176   -0.81424312E+01
  8.5179   -0.78059322E+01
  8.6181   -0.73108879E+01
  8.7183   -0.69834936E+01
  8.8185   -0.69834947E+01
  8.9187   -0.73111830E+01
  9.0189   -0.78059202E+01
  9.1191   -0.81426686E+01
  9.2193   -0.84150980E+01
  9.3195   -0.89551071E+01
  9.4197   -0.97432214E+01
  9.5200   -0.10432345E+02
  9.6202   -0.10490408E+02
  9.7204   -0.98277001E+01
  9.8206   -0.85936136E+01
  9.9208   -0.69802002E+01
 10.0210   -0.51440310E+01
 10.1212   -0.31966971E+01
 10.2214   -0.12812115E+01
 10.3216    0.37163562E+00
 10.4218    0.14575284E+01
 10.5221    0.18426161E+01
 10.6223    0.14575282E+01
 10.7225    0.37163447E+00
 10.8227   -0.12812140E+01
 10.9229   -0.31967009E+01
 11.0231   -0.51440357E+01
 11.1233   -0.69802047E+01
 11.2235   -0.85936170E+01
 11.3237   -0.98277009E+01
 11.4240   -0.10490405E+02
 11.5242   -0.10432338E+02
 11.6244   -0.97432107E+01
 11.7246   -0.89550937E+01
 11.8248   -0.84150806E+01
 11.9250   -0.81426456E+01
 12.0252   -0.78058903E+01
 12.1254   -0.73111469E+01
 12.2256   -0.69834540E+01
 12.3258   -0.69834486E+01
 12.4261   -0.73108382E+01
 12.5263   -0.78058763E+01
 12.6265   -0.81423682E+01
 12.7267   -0.84148091E+01
 12.8269   -0.89545116E+01
 12.9271   -0.97429887E+01
 13.0273   -0.10432021E+02
 13.1275   -0.10490276E+02
 13.2277   -0.98273556E+01
 13.3279   -0.85936583E+01
 13.4282   -0.69801680E+01
 13.5284   -0.51442067E+01
 13.6286   -0.31966341E+01
 13.7288   -0.12814740E+01
 13.8290    0.37154521E+00
 13.9292    0.14573670E+01
 14.0294    0.18429288E+01
 14.1296    0.14578448E+01
 14.2298    0.37251787E+00
 14.3300   -0.12800297E+01
 14.4303   -0.31947590E+01
 14.5305   -0.51419738E+01
 14.6307   -0.69776191E+01
 14.7309   -0.85909141E+01
 14.8311   -0.98245224E+01
 14.9313   -0.10487518E+02
 15.0315   -0.10429434E+02
 15.1317   -0.97407712E+01
 15.2319   -0.89527960E+01
 15.3321   -0.84137867E+01
 15.4324   -0.81420829E+01
 15.5326   -0.78064369E+01
 15.6328   -0.73121515E+01
 15.7330   -0.69853893E+01
 15.8332   -0.69856271E+01
 15.9334   -0.73132788E+01
 16.0336   -0.78075926E+01
 16.1338   -0.81436690E+01
 16.2340   -0.84148901E+01
 16.3342   -0.89532078E+01
 16.4345   -0.97388834E+01
 16.5347   -0.10425069E+02
 16.6349   -0.10479693E+02
 16.7351   -0.98136301E+01
 16.8353   -0.85763626E+01
 16.9355   -0.69603541E+01
 17.0357   -0.51219543E+01
 17.1359   -0.31731242E+01
 17.2361   -0.12568194E+01
