#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.000   -23.679  0.000  0.000  0.000  0.000  0.195  0.195  0.199  0.195  0.199  0.984
   0.030   -23.679  0.000  0.000  0.000  0.000  0.183  0.183  0.211  0.219  0.187  0.984
   0.060   -23.679  0.000  0.000  0.000  0.000  0.184  0.184  0.211  0.219  0.187  0.984
   0.090   -23.679  0.000  0.000  0.000  0.000  0.187  0.187  0.208  0.213  0.190  0.984
   0.120   -23.679  0.000  0.000  0.000  0.000  0.198  0.198  0.197  0.191  0.201  0.984
   0.150   -23.679  0.000  0.000  0.000  0.000  0.204  0.204  0.191  0.179  0.207  0.984
   0.179   -23.679  0.000  0.000  0.000  0.000  0.200  0.200  0.194  0.186  0.204  0.984
   0.209   -23.679  0.000  0.000  0.000  0.000  0.202  0.201  0.192  0.183  0.206  0.984
   0.239   -23.679  0.000  0.000  0.000  0.000  0.214  0.214  0.180  0.158  0.218  0.984
   0.269   -23.679  0.000  0.000  0.000  0.000  0.208  0.208  0.187  0.171  0.211  0.984
   0.299   -23.679  0.000  0.000  0.000  0.000  0.207  0.207  0.187  0.172  0.211  0.984
   0.329   -23.679  0.000  0.000  0.000  0.000  0.213  0.213  0.181  0.160  0.217  0.984
   0.359   -23.679  0.000  0.000  0.000  0.000  0.198  0.198  0.196  0.190  0.202  0.984
   0.389   -23.679  0.000  0.000  0.000  0.000  0.207  0.207  0.188  0.173  0.210  0.984
   0.419   -23.679  0.000  0.000  0.000  0.000  0.204  0.204  0.190  0.177  0.208  0.984
   0.449   -23.679  0.000  0.000  0.000  0.000  0.199  0.199  0.195  0.188  0.203  0.984
   0.478   -23.679  0.000  0.000  0.000  0.000  0.198  0.198  0.196  0.190  0.202  0.984
   0.508   -23.679  0.000  0.000  0.000  0.000  0.177  0.177  0.217  0.232  0.180  0.984
   0.538   -23.679  0.000  0.000  0.000  0.000  0.184  0.184  0.211  0.218  0.187  0.984
   0.568   -23.679  0.000  0.000  0.000  0.000  0.182  0.182  0.212  0.222  0.185  0.984
   0.568   -23.679  0.000  0.000  0.000  0.000  0.182  0.182  0.212  0.222  0.186  0.984
   0.579   -23.679  0.000  0.000  0.000  0.000  0.182  0.182  0.213  0.223  0.185  0.984
   0.589   -23.679  0.000  0.000  0.000  0.000  0.174  0.174  0.221  0.238  0.177  0.984
   0.600   -23.679  0.000  0.000  0.000  0.000  0.174  0.174  0.220  0.238  0.178  0.984
   0.610   -23.679  0.000  0.000  0.000  0.000  0.176  0.176  0.218  0.234  0.179  0.984
   0.621   -23.679  0.000  0.000  0.000  0.000  0.176  0.176  0.218  0.233  0.180  0.984
   0.632   -23.679  0.000  0.000  0.000  0.000  0.174  0.174  0.220  0.238  0.177  0.984
   0.642   -23.679  0.000  0.000  0.000  0.000  0.178  0.178  0.217  0.230  0.181  0.984
   0.653   -23.679  0.000  0.000  0.000  0.000  0.175  0.175  0.219  0.236  0.178  0.984
   0.663   -23.679  0.000  0.000  0.000  0.000  0.174  0.174  0.221  0.238  0.177  0.984
   0.674   -23.679  0.000  0.000  0.000  0.000  0.174  0.174  0.221  0.239  0.177  0.984
   0.684   -23.679  0.000  0.000  0.000  0.000  0.174  0.174  0.221  0.239  0.177  0.984
   0.695   -23.679  0.000  0.000  0.000  0.000  0.177  0.177  0.218  0.233  0.180  0.984
   0.706   -23.679  0.000  0.000  0.000  0.000  0.178  0.178  0.217  0.230  0.181  0.984
   0.716   -23.679  0.000  0.000  0.000  0.000  0.180  0.180  0.215  0.227  0.183  0.984
   0.727   -23.679  0.000  0.000  0.000  0.000  0.181  0.181  0.213  0.223  0.185  0.984
   0.737   -23.679  0.000  0.000  0.000  0.000  0.186  0.186  0.208  0.214  0.190  0.984
   0.748   -23.679  0.000  0.000  0.000  0.000  0.184  0.184  0.211  0.219  0.187  0.984
   0.758   -23.679  0.000  0.000  0.000  0.000  0.184  0.184  0.211  0.218  0.187  0.984
   0.769   -23.679  0.000  0.000  0.000  0.000  0.188  0.188  0.206  0.209  0.192  0.984
   0.769   -23.679  0.000  0.000  0.000  0.000  0.209  0.188  0.185  0.189  0.213  0.984
