Cl,Cs,Sn
-0.19707341309065923,-4.62577296903431,-6.8671601242494935
-0.4649329598654857,-4.3152595391976885,-5.88102970327378
-0.42592602847184385,-4.604409768431775,-5.536770833167457
-0.39330025807695623,-4.398844866003384,-6.143655260393565
-0.48596205457051295,-4.216533184446796,-5.952307844545403
-0.4627870734526549,-4.411758565090825,-5.700906969964491
-0.527163477461186,-4.454829031036768,-5.228507614021418
-0.7935920148786724,-3.859243749004621,-4.821106953580793
-0.6852639150609844,-4.165030967025499,-4.859501116445168
-0.43574632321480733,-4.213601736441749,-6.259465128689728
-0.37969006931841304,-4.652101493609442,-5.718803137732708
-0.25307284081075615,-4.62893848715894,-6.524832521679656
-0.19932410873926693,-4.390959474645505,-7.32328293913546
-0.17910066369725172,-4.873943909718675,-6.478654739241212
-0.3583929292672969,-4.476301920977974,-6.198185123302341
-0.22650414801839475,-4.506854387902719,-6.928412876946265
-0.09877019674950362,-4.569671583913638,-7.569182192537773
-0.18280343330848947,-4.702826608835027,-6.798672723341081
-0.29278229052726723,-4.241652249218764,-7.061148299260938
-0.5719684617472073,-4.4217059268905095,-5.025923916597808
-0.3330478021122945,-4.710858852745912,-5.881142022696481
-0.4497984445371378,-4.301939836424804,-5.998476200789636
-0.5763644604270393,-4.073949035625765,-5.695061707048304
-0.4902972063213265,-4.119182382942385,-6.120998537049342
-0.7718555658276633,-3.8073598154386152,-5.05529351501886
-0.9450667020005779,-3.6517819537169176,-4.3271824214247685
-0.7186602409320079,-4.099122576794341,-4.790939941681341
-0.8248874161916179,-3.900486950211107,-4.55084814329015
-1.0338929965044905,-3.5432379878067652,-4.011312586221597
-0.9776087566994733,-3.7784001684764372,-3.878693663712357
-0.8995372922348143,-4.164476057917202,-3.57497067161878
-1.029915481306816,-3.5205603565035872,-4.080532940013999
-1.1134452600224385,-3.4678468005039673,-3.6847813797195053
-1.0387342961186041,-3.9981815947519355,-3.072377574646574
-0.8356930921691474,-3.7116985398226237,-4.863590908201939
-0.8735392878062133,-3.7203466317696874,-4.619217550485415
-0.8347194530886357,-3.886682014720872,-4.519465792888512
-0.660791991330874,-3.976732854560629,-5.382928883755568
-0.48387100144483053,-4.473498709659981,-5.450923112873126
-0.2210777338770417,-4.806159173982492,-6.362361789634838
-0.008207367163868362,-5.010189173427892,-7.231523991023077
-0.1943697773962994,-4.578416967877485,-6.978093940729305
-0.12447281601549484,-4.4861558842995555,-7.58199787616999
-0.17101369637222955,-4.492560011655269,-7.289944339318155
-0.450015908443129,-4.098054935751172,-6.404941218700952
-0.6080507614083958,-4.379332571267545,-4.894176829876607
-0.3890661047539946,-4.214991355883103,-6.536767200571898
-0.3743436175843242,-4.533708491350151,-5.987667852655823
-0.2596076060164379,-4.79192129167823,-6.159658321406982
-0.4900057715919647,-4.507567308421897,-5.345977294466489
-0.2111906221596548,-4.586718981117448,-6.860564845669247
-0.23122142404958848,-4.535694669710956,-6.842428657142627
-0.44669371871588076,-4.313626165851293,-5.993731896864202
-0.3967527607010504,-4.3035566754425165,-6.313516625770733
-0.5192966664081065,-4.114722365516642,-5.955921811380147
-0.5084005640795101,-4.19900406230378,-5.85273503177745
-0.3801062364824085,-4.236363519255761,-6.547782083456096
-0.2541161031493079,-4.387615068293722,-7.00121978537878
-0.42381427044937053,-4.323897672351774,-6.110465573462301
-0.6354907743334454,-4.185736187310585,-5.116729520240229
-0.9226846884983826,-3.6456052115143645,-4.473827986843047
-1.0924348372025092,-3.4468036421420214,-3.8529302333629714
-1.29561406199979,-3.535416013382239,-2.4566301420988523
-1.142234588646134,-3.632858158525803,-3.18202269193366
-1.0719328809265034,-3.7236242332733838,-3.4223007887562837
-1.036782818566279,-3.573799340084753,-3.93285094929489
-0.9178058111177461,-4.047846393955954,-3.698618886243687
-1.10971665499977,-3.583357405117558,-3.476131800628334
-0.8325474785231832,-3.8599565395225435,-4.5859485906778845
-0.8380796521059118,-4.152545971059547,-3.9675766861075057
-1.0410925953577046,-3.833990274700166,-3.3866104193155118
-1.0958687388786743,-3.894861912712208,-2.936210282165608
-1.3199262955194984,-3.384264357949392,-2.6130600518462956
-1.541402224870327,-2.9778288466108864,-2.097075498418336
-1.4060054993204467,-3.3433639858697717,-2.1783855731998476
-1.2771100749637914,-3.29719932709445,-3.044087436890423
-1.5110802223563329,-3.4857400599213246,-1.2631850868814218
-1.281380179170297,-3.4962247772161166,-2.620415911408055
-1.519692454395142,-3.190746304691436,-1.8014992051083474
-1.2378061603549835,-3.7902176029165218,-2.2938743728991247
-1.1540105022344793,-3.4690895800576276,-3.4389043673399393
-1.054671697836652,-3.5883011788425234,-3.796513996157111
