#K-Path     Energy-Level
#Band-index    1
  0.000      -23.8979
  0.031      -23.8979
  0.061      -23.8979
  0.092      -23.8979
  0.122      -23.8979
  0.153      -23.8979
  0.184      -23.8979
  0.214      -23.8979
  0.245      -23.8979
  0.275      -23.8979
  0.306      -23.8979
  0.337      -23.8979
  0.367      -23.8979
  0.398      -23.8979
  0.429      -23.8979
  0.459      -23.8978
  0.490      -23.8979
  0.520      -23.8979
  0.551      -23.8979
  0.582      -23.8979
  0.582      -23.8979
  0.592      -23.8979
  0.603      -23.8979
  0.614      -23.8979
  0.625      -23.8979
  0.636      -23.8979
  0.647      -23.8979
  0.657      -23.8979
  0.668      -23.8979
  0.679      -23.8979
  0.690      -23.8979
  0.701      -23.8979
  0.711      -23.8979
  0.722      -23.8979
  0.733      -23.8979
  0.744      -23.8979
  0.755      -23.8979
  0.766      -23.8979
  0.776      -23.8979
  0.787      -23.8979
  0.787      -23.8979
  0.820      -23.8979
  0.852      -23.8979
  0.885      -23.8979
  0.917      -23.8979
  0.950      -23.8979
  0.982      -23.8979
  1.014      -23.8979
  1.047      -23.8979
  1.079      -23.8979
  1.112      -23.8979
  1.144      -23.8979
  1.177      -23.8979
  1.209      -23.8979
  1.242      -23.8979
  1.274      -23.8979
  1.307      -23.8979
  1.339      -23.8979
  1.372      -23.8979
  1.404      -23.8979
  1.404      -23.8979
  1.431      -23.8979
  1.457      -23.8979
  1.484      -23.8979
  1.510      -23.8979
  1.537      -23.8979
  1.563      -23.8979
  1.590      -23.8979
  1.616      -23.8979
  1.643      -23.8979
  1.669      -23.8979
  1.696      -23.8979
  1.722      -23.8978
  1.749      -23.8979
  1.775      -23.8979
  1.802      -23.8979
  1.828      -23.8978
  1.855      -23.8978
  1.881      -23.8979
  1.908      -23.8978
  1.908      -23.8978
  1.929      -23.8978
  1.951      -23.8978
  1.973      -23.8978
  1.994      -23.8978
  2.016      -23.8979
  2.038      -23.8979
  2.059      -23.8979
  2.081      -23.8979
  2.103      -23.8979
  2.124      -23.8979
  2.146      -23.8979
  2.167      -23.8979
  2.189      -23.8979
  2.211      -23.8979
  2.232      -23.8979
  2.254      -23.8979
  2.276      -23.8979
  2.297      -23.8979
  2.319      -23.8979
  2.319      -23.8979
  2.334      -23.8979
  2.350      -23.8979
  2.365      -23.8979
  2.380      -23.8979
  2.396      -23.8979
  2.411      -23.8979
  2.426      -23.8979
  2.441      -23.8979
  2.457      -23.8979
  2.472      -23.8979
  2.487      -23.8979
  2.503      -23.8979
  2.518      -23.8979
  2.533      -23.8979
  2.549      -23.8979
  2.564      -23.8979
  2.579      -23.8979
  2.594      -23.8979
  2.610      -23.8979
#Band-index    2
  2.610      -23.8979
  2.594      -23.8979
  2.579      -23.8979
  2.564      -23.8979
  2.549      -23.8979
  2.533      -23.8979
  2.518      -23.8979
  2.503      -23.8979
  2.487      -23.8979
  2.472      -23.8979
  2.457      -23.8979
  2.441      -23.8979
  2.426      -23.8979
  2.411      -23.8979
  2.396      -23.8979
  2.380      -23.8979
  2.365      -23.8979
  2.350      -23.8979
  2.334      -23.8979
  2.319      -23.8978
  2.319      -23.8978
  2.297      -23.8979
  2.276      -23.8979
  2.254      -23.8979
  2.232      -23.8979
  2.211      -23.8978
  2.189      -23.8979
  2.167      -23.8979
  2.146      -23.8979
  2.124      -23.8978
  2.103      -23.8979
  2.081      -23.8978
  2.059      -23.8978
  2.038      -23.8978
  2.016      -23.8978
  1.994      -23.8978
  1.973      -23.8978
  1.951      -23.8978
  1.929      -23.8978
  1.908      -23.8978
  1.908      -23.8978
  1.881      -23.8978
  1.855      -23.8978
  1.828      -23.8978
  1.802      -23.8978
  1.775      -23.8978
  1.749      -23.8978
  1.722      -23.8978
  1.696      -23.8979
  1.669      -23.8979
  1.643      -23.8979
  1.616      -23.8978
  1.590      -23.8979
  1.563      -23.8979
  1.537      -23.8979
  1.510      -23.8979
  1.484      -23.8979
  1.457      -23.8979
  1.431      -23.8979
  1.404      -23.8979
  1.404      -23.8979
  1.372      -23.8979
  1.339      -23.8979
  1.307      -23.8979
  1.274      -23.8979
  1.242      -23.8979
  1.209      -23.8979
  1.177      -23.8979
  1.144      -23.8979
  1.112      -23.8978
  1.079      -23.8979
  1.047      -23.8979
  1.014      -23.8979
  0.982      -23.8979
  0.950      -23.8979
  0.917      -23.8979
  0.885      -23.8979
  0.852      -23.8979
  0.820      -23.8979
  0.787      -23.8979
  0.787      -23.8979
  0.776      -23.8979
  0.766      -23.8979
  0.755      -23.8979
  0.744      -23.8979
  0.733      -23.8979
  0.722      -23.8979
  0.711      -23.8979
  0.701      -23.8979
  0.690      -23.8979
  0.679      -23.8979
  0.668      -23.8979
  0.657      -23.8979
  0.647      -23.8979
  0.636      -23.8979
  0.625      -23.8978
  0.614      -23.8979
  0.603      -23.8979
  0.592      -23.8979
  0.582      -23.8979
  0.582      -23.8979
  0.551      -23.8979
  0.520      -23.8978
  0.490      -23.8979
  0.459      -23.8978
  0.429      -23.8979
  0.398      -23.8979
  0.367      -23.8979
  0.337      -23.8978
  0.306      -23.8978
  0.275      -23.8979
  0.245      -23.8979
  0.214      -23.8979
  0.184      -23.8979
  0.153      -23.8979
  0.122      -23.8979
  0.092      -23.8979
  0.061      -23.8979
  0.031      -23.8979
  0.000      -23.8979
#Band-index    3
  0.000      -23.8978
  0.031      -23.8978
  0.061      -23.8978
  0.092      -23.8978
  0.122      -23.8978
  0.153      -23.8978
  0.184      -23.8978
  0.214      -23.8978
  0.245      -23.8978
  0.275      -23.8978
  0.306      -23.8978
  0.337      -23.8978
  0.367      -23.8978
  0.398      -23.8978
  0.429      -23.8978
  0.459      -23.8978
  0.490      -23.8978
  0.520      -23.8978
  0.551      -23.8978
  0.582      -23.8978
  0.582      -23.8978
  0.592      -23.8978
  0.603      -23.8978
  0.614      -23.8978
  0.625      -23.8978
  0.636      -23.8978
  0.647      -23.8978
  0.657      -23.8978
  0.668      -23.8978
  0.679      -23.8978
  0.690      -23.8978
  0.701      -23.8978
  0.711      -23.8978
  0.722      -23.8978
  0.733      -23.8978
  0.744      -23.8978
  0.755      -23.8978
  0.766      -23.8978
  0.776      -23.8978
  0.787      -23.8978
  0.787      -23.8978
  0.820      -23.8978
  0.852      -23.8978
  0.885      -23.8978
  0.917      -23.8978
  0.950      -23.8978
  0.982      -23.8978
  1.014      -23.8978
  1.047      -23.8978
  1.079      -23.8978
  1.112      -23.8978
  1.144      -23.8978
  1.177      -23.8978
  1.209      -23.8978
  1.242      -23.8978
  1.274      -23.8978
  1.307      -23.8978
  1.339      -23.8978
  1.372      -23.8978
  1.404      -23.8978
  1.404      -23.8978
  1.431      -23.8978
  1.457      -23.8978
  1.484      -23.8978
  1.510      -23.8978
  1.537      -23.8978
  1.563      -23.8978
  1.590      -23.8978
  1.616      -23.8978
  1.643      -23.8978
  1.669      -23.8978
  1.696      -23.8978
  1.722      -23.8978
  1.749      -23.8978
  1.775      -23.8978
  1.802      -23.8978
  1.828      -23.8978
  1.855      -23.8978
  1.881      -23.8978
  1.908      -23.8978
  1.908      -23.8978
  1.929      -23.8978
  1.951      -23.8978
  1.973      -23.8978
  1.994      -23.8978
  2.016      -23.8978
  2.038      -23.8978
  2.059      -23.8978
  2.081      -23.8978
  2.103      -23.8978
  2.124      -23.8978
  2.146      -23.8978
  2.167      -23.8978
  2.189      -23.8978
  2.211      -23.8978
  2.232      -23.8978
  2.254      -23.8978
  2.276      -23.8978
  2.297      -23.8978
  2.319      -23.8978
  2.319      -23.8978
  2.334      -23.8978
  2.350      -23.8978
  2.365      -23.8978
  2.380      -23.8978
  2.396      -23.8978
  2.411      -23.8978
  2.426      -23.8978
  2.441      -23.8978
  2.457      -23.8978
  2.472      -23.8978
  2.487      -23.8978
  2.503      -23.8978
  2.518      -23.8978
  2.533      -23.8978
  2.549      -23.8978
  2.564      -23.8978
  2.579      -23.8978
  2.594      -23.8978
  2.610      -23.8978
#Band-index    4
  2.610      -23.8978
  2.594      -23.8978
  2.579      -23.8978
  2.564      -23.8978
  2.549      -23.8978
  2.533      -23.8978
  2.518      -23.8978
  2.503      -23.8978
  2.487      -23.8978
  2.472      -23.8978
  2.457      -23.8978
  2.441      -23.8978
  2.426      -23.8978
  2.411      -23.8978
  2.396      -23.8978
  2.380      -23.8978
  2.365      -23.8978
  2.350      -23.8978
  2.334      -23.8978
  2.319      -23.8978
  2.319      -23.8978
  2.297      -23.8978
  2.276      -23.8978
  2.254      -23.8978
  2.232      -23.8978
  2.211      -23.8978
  2.189      -23.8978
  2.167      -23.8978
  2.146      -23.8978
  2.124      -23.8978
  2.103      -23.8978
  2.081      -23.8978
  2.059      -23.8978
  2.038      -23.8978
  2.016      -23.8978
  1.994      -23.8978
  1.973      -23.8978
  1.951      -23.8978
  1.929      -23.8978
  1.908      -23.8978
  1.908      -23.8978
  1.881      -23.8978
  1.855      -23.8978
  1.828      -23.8978
  1.802      -23.8978
  1.775      -23.8978
  1.749      -23.8978
  1.722      -23.8978
  1.696      -23.8978
  1.669      -23.8978
  1.643      -23.8978
