Bi,Cl,Cs
-5.467407680858287,-0.32670633464851545,-4.24092901168124
-4.345695567048314,-0.6004211671239902,-4.0674033846669495
-4.223877252585041,-0.7534002149504999,-3.802051393835021
-4.450103016210732,-0.6346947055549833,-3.9640538247508235
-4.710408360959226,-0.46566488989677673,-4.215345007817739
-4.009046483181081,-0.7700481693836669,-3.840365741436673
-4.972334436250989,-0.5403651175347706,-3.9786358607778296
-5.616337863803276,-0.3056412687156902,-4.233415749231895
-5.961645277191886,-0.15694416410544204,-4.415707487322854
-5.462409092893798,-0.33352747351455225,-4.228952929937329
-4.428875389458465,-0.6257281557539635,-3.9890627999369523
-4.8869635188584954,-0.5090839500616797,-4.069655168188176
-3.979259259106131,-0.787019672090263,-3.816351810715131
-3.5704148815342673,-1.001647573564695,-3.523377466956888
-4.189107343292734,-0.7666353356547989,-3.7871711221905247
-3.953471162793894,-0.7835635772647612,-3.831860032470214
-3.7622719161879874,-0.7860142904272709,-3.8906916883471636
-3.80235789872828,-0.7968620834560457,-3.8556341081095162
-3.7585397662836506,-0.8253095911510988,-3.8133451368676194
-4.777334230674595,-0.5412523224713492,-4.041861519430137
-4.876886497369204,-0.47722854585108054,-4.1367249837724716
-5.1176596781515915,-0.4952552766973618,-4.020413795152447
-4.054677887869692,-0.7949739893400216,-3.7753036332944268
-3.9127009961728265,-0.8429817804947433,-3.7266136815506057
-3.1765694673311873,-1.1379112797024398,-3.382131859415759
-2.8831911858592987,-1.146807576333613,-3.4621320266440416
-3.421480493556162,-1.0039222095414262,-3.5684729909961277
-2.734730931132414,-1.1901953402624454,-3.4248432503620054
-2.7123217046723926,-1.1386527960891997,-3.5353980808618375
-3.7212738162245564,-0.8709114769000881,-3.734563348722672
-4.331811189725458,-0.7063778596225212,-3.8601181254441728
-4.425589298484944,-0.6316558022114577,-3.9783028706798036
-4.280702659536329,-0.7573271356847601,-3.7752557500494044
-4.593497529448749,-0.5649753633846256,-4.0556943380121995
-4.519507556288892,-0.5860412330164437,-4.038225923135183
-5.183467481000406,-0.4337679424115145,-4.121452529441203
-4.540862790314633,-0.5357734419471087,-4.131643093931939
-5.720442379726529,-0.2488299788629268,-4.312336823629671
-6.118351306166492,-0.11215721486832601,-4.453046042805552
-5.880381996684079,-0.19006349692113494,-4.376556581860737
-6.194455168153428,-0.10282064089981272,-4.446351236746932
-6.235223760230607,-0.12315360450100638,-4.392095778852152
-5.899882830050037,-0.109259257774714,-4.531664782364927
-6.167508444643654,-0.06156668507239676,-4.537841389571689
-5.986542221358236,-0.15721447593846147,-4.406867882268033
-6.254210898050541,-0.00861260453432206,-4.614848732845543
-5.862239713303988,-0.13945886150633025,-4.483813280483711
-5.703633206730381,-0.1980585392778228,-4.419482760465262
-5.716255252591885,-0.13532842989879276,-4.54073563060282
-5.805866684830511,-0.216513300181933,-4.348495412623664
-6.041995958896372,-0.041702463472918644,-4.619407328019739
-5.278070679659787,-0.27663376633044,-4.404186482050226
-4.641334678163825,-0.6052192304822521,-3.959260887578588
-3.94347382306294,-0.8252707959398372,-3.751778041697046
-4.134924743076225,-0.788875742351321,-3.7607511755363174
-3.1802507709747143,-1.0423770862348483,-3.5719731451364325
-2.8399819343614974,-1.2329074591912506,-3.304335344761367
-3.3344895922240383,-1.0082564411612607,-3.5888014948671665
-4.122766313331924,-0.8114729649841786,-3.7196095401853686
-3.0705823006421578,-1.0347425481868582,-3.6237983780099317
-3.788516909343957,-0.8149236784135588,-3.8241245813225975
-4.917469444696506,-0.4883153278151379,-4.101023770735257
-4.193057177831116,-0.7050343974447637,-3.909056387097802
-5.007542347331218,-0.41782848263315814,-4.211973160220978
-5.648738544349654,-0.22399230198578213,-4.3859134558429185
-5.984156908721442,-0.18712600431449136,-4.347839929728238
-5.3460474671374545,-0.36564758986106316,-4.203499905829756
-4.180650695794533,-0.6773403939885634,-3.9685798880223966
-4.999809916883044,-0.4672745431312197,-4.115658516040914
-5.89755765778698,-0.22767670515090638,-4.295604945033561
-4.5985147756443565,-0.5403617074813003,-4.103249234420315
-4.377558685189507,-0.6163262594955513,-4.024972160543428
-4.398964551208791,-0.6035087878724811,-4.043471815116475
-5.0509655186291305,-0.4320984543657561,-4.168958826323145
-4.441478418326323,-0.6839927789502045,-3.8683325439218508
-4.781103117119002,-0.46312480675110873,-4.196860255389149
-5.036334820595142,-0.512960915493259,-4.012110803412802
-4.512129009326149,-0.6714602703692569,-3.869847364083804
-4.969313101289303,-0.5344341645152891,-3.991504878470688
-4.333594882990726,-0.7274384792611974,-3.817402321745064
-4.939131530008077,-0.40507993794699126,-4.260273855367693
-4.248334386532348,-0.7395445737686908,-3.821610298216203
-3.954354888553123,-0.8102282898213624,-3.7782360321039348
-3.7370569974415835,-0.8330428522971162,-3.80503953752294
-3.6290392694348794,-0.8867057087781942,-3.7337197338963524
-3.923966319346699,-0.83831016873237,-3.7322017973507284
-4.141400243974129,-0.8178493057211189,-3.7006455484974197
-4.763409198576236,-0.5930014916166271,-3.9430048585057014
-5.210213723324151,-0.30384460146301423,-4.372383797230288
-5.790188404635037,-0.12394398231332054,-4.538860141759381
-5.458360568638364,-0.24302849018710548,-4.411300404677369
-6.152259374923433,-0.04830737636002364,-4.569443030236509
-6.075355333173153,-0.11910824602754744,-4.453475971484888
-5.513369691526364,-0.20070992195258755,-4.4776011668504045
-4.801253818836052,-0.5357259116493996,-4.044941145020218
-4.3501158086322835,-0.7052248974051862,-3.8563225102432335
-4.557739823406044,-0.6242731342286256,-3.949018031671768
-3.443990276460396,-0.937232120113218,-3.694349908884466
-4.429844489881481,-0.6825943202892956,-3.8750074373919494
-4.381751952067217,-0.6073807286140971,-4.041465466680434
-4.787102960194821,-0.5118444671960808,-4.097420986807266
-4.036562584619681,-0.781475987573609,-3.8083380712439223
-4.330734045670774,-0.6207557426165228,-4.0317214074743974
-3.5396611231111916,-0.884843696769262,-3.7672364733554464
-4.342885174612888,-0.6395838818564407,-3.9900147526805236
-4.537581910727921,-0.6866935288396703,-3.83089654667572
-3.9870043623899467,-0.7612033100001666,-3.8654028338007183
-3.740806115683341,-0.8552366936524878,-3.759402148731611
-3.114067522710495,-1.0658844027279435,-3.5470195949049823
-3.3396710227491653,-1.0709934941589243,-3.461600245363464
-3.3190747222884056,-0.9763131648239961,-3.65782633752024
-4.33728573305111,-0.7171599691609359,-3.8367290585921254
-3.4527115639112402,-1.0400417941220699,-3.485823465049814
