Cl,Cs,Sn
-1.363887833317192,-3.704510574999401,-1.7087983909601163
-1.332380898711271,-3.5886153015249915,-2.1296305455444595
-1.354913592396638,-3.185087460160769,-2.801490066160704
-1.2790545693313529,-3.385510279547739,-2.8557985657784752
-1.495859099079819,-3.484895988909169,-1.3561999685648185
-1.3804397747804467,-3.625781624677197,-1.766944642824996
-1.2360000103343365,-3.5250818419593597,-2.8349827949373316
-1.484972050025268,-3.41251340972738,-1.5662874212557014
-1.2802745899296069,-3.5189681983133014,-2.581562604657827
-1.0019707238808486,-3.736107463063162,-3.8171072714506544
-1.0887653740636243,-3.905988610966542,-2.956577074547241
-0.953385545331566,-3.6081479384115687,-4.364537392049537
-0.8799023599083754,-3.8442541306152505,-4.333224120181319
-1.0400967654151074,-3.77234439977373,-3.515877148823966
-1.3020165166622395,-3.382107828402659,-2.7248317840833165
-1.3581388123732916,-3.58294315889618,-1.9864273488299597
-1.5917034537508306,-3.362613896906924,-1.0256980245432405
-1.4223194165187163,-3.246240221601669,-2.274749598546435
-1.2469554540073426,-3.7393444537828766,-2.340724909252261
-1.0848532009672887,-3.9055215466184316,-2.980984241821474
-0.9107049807783884,-3.925586946719851,-3.98574276275204
-0.6340437647743947,-3.8987449658830706,-5.699394020449561
-0.6827628877630734,-4.11613756667888,-4.972294080925871
-0.8730940093778559,-3.8356427915622144,-4.391296901470505
-0.8358185398199927,-4.158119245675621,-3.9699968105908727
-0.865436679638197,-3.8056125266211525,-4.497301409790585
-1.1336323259335814,-3.67101985790256,-3.1573128694554624
-1.2010752514361418,-3.505350350097045,-3.0839943320511294
-1.3991492618139063,-3.6788937992416826,-1.5484633714952671
-1.396620616264391,-3.3106797674380672,-2.300063308399591
-1.50837524130956,-3.46294528461414,-1.3250045237764305
-1.7145891727166347,-2.9436725917259174,-1.1262663211104267
-1.4472597474990843,-3.6316677104316604,-1.3542526350042445
-1.4257298028849135,-3.4123867017108713,-1.9219943201308458
-1.5072044739740527,-3.2233165038070695,-1.811286689403615
-1.6576111315773034,-3.0535274663510017,-1.248424818696247
-1.6475046243954368,-3.2414031489562087,-0.9333124965770309
-1.663920169857739,-3.1388686608027463,-1.0398882001101453
-1.493734020717893,-3.414211336204638,-1.5103197441454355
-1.612449379988366,-3.1664411178190695,-1.293568025293737
-1.4510653393853876,-3.630925798569183,-1.3329029074113776
-1.576104173917314,-3.1677992424774377,-1.5089230124033095
-1.5803268126168386,-2.9904624553200043,-1.8382607545210297
-1.498131125612305,-3.438708024364371,-1.4349437384594987
-1.5709320583414568,-3.2054657874612396,-1.464622615890851
-1.499640462994749,-3.251636972928821,-1.800029817035934
-1.6442676311291282,-2.991789278249938,-1.4519621975874242
-1.618811518456644,-3.054301975707169,-1.4796734787078685
-1.5774186203883098,-3.2970679908394698,-1.2424988368532717
-1.309842906970627,-3.276781985783316,-2.888525127471676
-1.5771523041971833,-3.0720573759306022,-1.6941179638177652
-1.4625743697471376,-3.1101744042118393,-2.3053515139555665
-1.3337413973668197,-3.381634904093073,-2.5354283484750058
-1.1838733347909787,-3.6913115887630417,-2.8152833545901155
-1.195127381672789,-3.738271836038675,-2.6538385787479872
-1.287471699487086,-3.4362942808546895,-2.7037277822301733
-1.219073348873315,-3.3539315576660864,-3.278843332290008
-1.438037925786586,-3.4772266437746784,-1.718465698593197
-1.3763137658712963,-3.2722830545234673,-2.4986978365873576
-1.5654431556584731,-3.4046277093485315,-1.0992321882141685
-1.3725131395945982,-3.2627850691638414,-2.540497564966799
-1.3839070355222174,-3.6445929261566543,-1.708518475415457
-1.365298936471236,-3.503006448060115,-2.1033400259144237
-1.5263632659598891,-3.0157244755529673,-2.111517993996801
-1.6181622513728935,-2.9974438892930753,-1.597285254038559
-1.5630554444100082,-3.2587445839370472,-1.4053247065279268
-1.5264939927243908,-3.21609309767974,-1.7099963891562446
-1.4208902929780993,-3.198190864579393,-2.3794230538346888
-1.1531033929763754,-3.8437558271062136,-2.6950145287913916
-0.9504923898521322,-3.867520399585895,-3.8631514025774876
-0.9046331285412568,-3.697871712068379,-4.477604345477772
-0.7422581136851419,-4.282120434664491,-4.283356989422239
-0.4595955457759082,-4.388288429295702,-5.766996407615216
-0.2587626001073672,-4.259336051608012,-7.229898837001842
-0.17823071638310473,-4.391946564360085,-7.4478691138432715
-0.3964501263501079,-4.234780896121718,-6.452883990517987
-0.180731374381139,-4.853710874632669,-6.509336545309898
-0.051415311638522955,-4.888017237041112,-7.2166201969487105
-0.18520361685523637,-4.421781944232253,-7.346360951266149
-0.10215999863897603,-4.813425293402559,-7.061335962223097
-0.2592811737596146,-4.41272845447681,-6.920002589350762
-0.3215855417702196,-4.485444007238795,-6.400745275763165
-0.17679491948190776,-4.435263912419503,-7.369849199131619
-0.12686966681505646,-4.486466055901138,-7.566996428169457
-0.2261091416673402,-4.812252975986323,-6.319985738885384
-0.314663404931577,-4.446517062364682,-6.520131986543243
-0.29645037938916474,-4.541466713469036,-6.439510837589011
-0.3613032413004678,-4.327700994138009,-6.477925104783245
-0.5650127500369848,-4.4148127026549595,-5.081444635330241
-0.4842031932119556,-4.5583832909093305,-5.279160799771676
-0.4194845196259892,-4.347249922036126,-6.089739579033882
-0.4043807424402379,-4.381902120331768,-6.111057845557108
-0.4831814885262517,-4.240786870815697,-5.920483868073166
-0.4425769450113314,-4.29525753237733,-6.055169806039424
-0.5976721269052742,-4.0280408932825935,-5.659031992865239
-0.5052949218236141,-4.0334354912051085,-6.202506027510169
-0.5609526590152469,-4.036806506977094,-5.861817572816401
-0.3267094969123504,-4.362621104540761,-6.615647350306447
-0.4691846804803601,-4.091499337245784,-6.303039783488342
-0.20381668993425564,-4.6110115573801504,-6.856223286496236
-0.3137520549960538,-4.423952733181915,-6.570728744521918
-0.48083111069807594,-4.477153632104582,-5.46185261246445
-0.47388367285834554,-4.30949869214009,-5.8388471194318186
-0.5712052548041744,-4.422643110959556,-5.028628790117913
-0.6883506905243689,-4.038456701469575,-5.094128994776707
-0.40937544821625843,-4.509794946457096,-5.825303958650329
-0.5519187146021278,-4.467712208142492,-5.054209836964319
-0.6079735693012895,-3.9585343201991776,-5.736236484655978
-0.3645982004965577,-4.548620070217306,-6.016317197448111
-0.3524760480438401,-4.527547264916059,-6.131195722766911
