Al,Ca,O
-0.12867430463986307,-1.4727464899963065,-5.632142537003966
-0.579072886893081,-1.8793977285448606,-5.326277577762536
-0.19802743630816103,-1.5811093522157813,-5.582637250570332
-0.8435541898826924,-2.065254667239027,-5.149454810679931
-1.2021389148031647,-2.199485992127739,-4.915915440999173
-1.0133801674238223,-2.0564149802909837,-5.042661545230166
-1.5325092062547332,-2.45204243459796,-4.693968075741855
-2.202028630688155,-2.9826834968277005,-4.243185225456023
-1.851799824168451,-2.7330514835423725,-4.477520893430854
-2.2106800723106272,-2.847928678303042,-4.244813515932602
-2.543764725806867,-3.112757574872243,-4.0205058981155455
-2.8636063470890987,-3.423508066148197,-3.80214537460698
-1.9619815451936755,-2.7821134221808514,-4.40535023074974
-1.3449751758762556,-2.3397085373663926,-4.81832293162466
-1.7815716638318437,-2.6611838296910246,-4.525658029109309
-2.298150048027917,-2.9318534627276525,-4.185152226825649
-3.1980162236612775,-3.5223624523929553,-3.5857362743379855
-2.7765119899098982,-3.337689594490074,-3.8616690987021665
-1.9620269686930685,-2.7794139946975935,-4.4054636173545045
-1.9388712521685132,-2.743551964223493,-4.421975755710756
-1.2786468333383971,-2.249443114674919,-4.864965328106018
-0.8234691390945766,-2.0284885503531833,-5.164075164697995
-0.6252433094339648,-1.9270587446798895,-5.294608836361187
-0.6584128191762008,-1.8906693052815062,-5.275574905966005
-1.5161376312395307,-2.4829796819371306,-4.702679741680974
-0.6163198899656562,-1.83079754086637,-5.305311059383987
-1.107197292979355,-2.2198683724587527,-4.974805813712579
-1.5863850715167107,-2.440501380338282,-4.660548637379537
-2.021447915182215,-2.8584897854725644,-4.363772714794256
-2.282814052448127,-3.002514354705138,-4.191119124456176
-3.010982911065738,-3.483529566806883,-3.7059064131133828
-3.345441447774931,-3.7117258881088246,-3.482659109860106
-4.042397681395269,-4.214996994389578,-3.0159882725061684
-3.3969460453164992,-3.7010536793265456,-3.450691585559235
-3.0923377668707044,-3.567263497371169,-3.650117349943705
-3.7763268517108455,-3.961187747008716,-3.197391388484797
-4.1452679116376885,-4.245729802235288,-2.949400084571708
-4.883417185596425,-4.690694448190867,-2.4597813512316864
-5.7596161219740525,-5.246724823617685,-1.877127792707563
-6.60564908697918,-5.77918081585859,-1.3147671836390131
-7.4993005626631755,-6.394872151403172,-0.7179509181783542
-7.56572985997552,-6.494620454556888,-0.6707456618150986
-7.010353987801152,-6.068059197193009,-1.0439599630496401
-7.5485346274618825,-6.508664185912495,-0.6808666649102588
-7.376976836180168,-6.330589785674053,-0.7985912909954708
-7.5948739092531286,-6.449576847799605,-0.6547096099954132
-6.7392588054727325,-5.908027077650664,-1.2236007160750815
-7.154196416141782,-6.232842450387806,-0.9444393107716217
-7.867007116044641,-6.6467406969428895,-0.4724589610142856
-6.958345589749144,-6.052052994191351,-1.0776498040825746
-6.489928968691347,-5.79521941108248,-1.3870094375458617
-6.9609405500857955,-6.1367415662529,-1.071553588498292
-7.012344567301455,-6.188542296159934,-1.036361539209085
-6.340178984168534,-5.6575450869723145,-1.4888343921976461
-7.2317026214267806,-6.270095552552129,-0.8935273336356054
-7.7256581546298335,-6.662981326118744,-0.5608772193196447
-6.91528114369456,-6.112095936401728,-1.1016882467375564
-6.290621446116789,-5.684335366007771,-1.5187238752284615
-6.010668699400894,-5.415489650951675,-1.7096859107888207
-5.331232694231105,-5.038720050637239,-2.1586333667020794
-4.659985651205951,-4.535668144270686,-2.6090552836846266
-4.094186335454208,-4.221763246014711,-2.9829235303834105
-4.2597147874032375,-4.303743543528478,-2.8740644924411938
-4.779392261378582,-4.64908400645852,-2.5276713266183424
-4.37826036392891,-4.435870113076465,-2.7922395720277167
-4.662801208595811,-4.520385031938533,-2.608081411245355
-5.309066131561316,-4.986866453826483,-2.175362437694091
-6.034261237226836,-5.438495928362087,-1.693574503877152
-5.278218759300131,-5.029047409035781,-2.1926249383217185
-4.560083005643199,-4.527073125613993,-2.672604060811454
-4.9122472187246995,-4.753485987753718,-2.4382680913842045
-5.6330253340648255,-5.2579129847854364,-1.9564910186940345
-5.838375017176524,-5.3576463249877975,-1.821547358823364
-5.92995434618623,-5.363356405556324,-1.7634072520504698
-5.686791362648889,-5.28575054670126,-1.9210683921190568
-5.997914854498814,-5.48745767841955,-1.7139531798076149
-6.744622295650905,-5.907433908838595,-1.2202444680052917
-6.238277714539746,-5.669365372885635,-1.5525709684940754
-5.521522392777145,-5.0824742172483175,-2.036147548325049
-4.7368474868390225,-4.645396874794411,-2.554735770099333
-5.629048514549142,-5.226012685373236,-1.9606816573045822
-6.346826569881136,-5.725482105447357,-1.4810602844594218
-7.043126481216141,-6.177900390741706,-1.017480430706032
-7.019645853704052,-6.062897005477481,-1.0383631104644153
-7.401725052410438,-6.359352722700919,-0.7814469998486222
-6.776120190671036,-5.9290887245721695,-1.1992113334802843
-6.381735940685539,-5.767834696784598,-1.4567831770388913
