#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.000   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.031   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.062   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.093   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.124   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.155   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.185   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.216   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.247   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.278   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.309   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.340   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.371   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.402   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.433   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.464   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.494   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.525   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.556   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.587   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.587   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.598   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.609   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.620   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.631   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.642   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.653   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.664   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.675   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.686   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.696   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.707   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.718   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.729   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.740   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.751   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.762   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.773   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.784   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.795   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.795   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.828   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.860   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.893   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.926   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.959   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.991   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.024   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.057   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.090   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.123   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.155   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.188   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.221   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.254   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.286   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.319   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.352   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.385   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.418   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.418   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.444   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.471   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.498   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.525   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.551   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.578   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.605   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.632   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.658   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.685   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.712   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.739   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.765   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.792   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.819   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.846   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.873   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.899   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.926   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.926   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.948   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.970   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.992   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   2.013   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   2.035   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   2.057   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   2.079   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   2.101   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   2.123   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   2.145   -34.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
