Cl,Cs,Hf
-0.2693099518264733,-4.539012367236417,-11.095446679990394
-0.33965191444641607,-4.548086628687177,-10.655246381369219
-0.10876590891307614,-4.847032966493369,-11.442669738956871
-0.382382955307124,-4.480846655058387,-10.533340083462548
-0.5072700118475916,-4.300318501401264,-10.145074051533987
-0.6472048910253955,-4.324139771613569,-9.257822236042553
-0.6639623185124635,-4.320508644509841,-9.164539925327604
-0.5100805535868786,-4.051751808273739,-10.625344187353317
-0.28441226430841304,-4.237285367564387,-11.608286804442812
-0.5195859291229292,-4.065527748044812,-10.540760054594864
-0.8061181596992693,-4.17094318915558,-8.61073578891529
-1.06024996660195,-4.016508865538065,-7.394813594734235
-1.1881792960830333,-3.8980126629670546,-6.864230022989756
-1.3183817530029653,-3.32156022649472,-7.235920154414835
-1.1373541187216893,-3.783935895947453,-7.397334621197023
-0.9528692419622916,-3.9222050385112643,-8.227705596625785
-0.9044955488069157,-3.886104958116794,-8.590147916346984
-1.0703683656398324,-3.620310736797998,-8.126499457987075
-1.1446537510989772,-3.493180829521025,-7.935046959786152
-1.0994901185762487,-3.6406960148181855,-7.910998384328203
-0.7581549532811425,-4.232631423610198,-8.775138558514817
-0.6095237698051861,-4.341666951907746,-9.448854602775457
-0.9121321554150755,-4.20813683828811,-7.900264516355395
-1.0222150855417464,-4.090557700688721,-7.4749252107941455
-0.7377681502393916,-4.1044675680630585,-9.1537870878596
-0.8220527387187906,-4.020250237737765,-8.81651421763379
-0.5684247258814463,-4.206624873885653,-9.96553302236208
-0.5140868017247009,-4.235141619348361,-10.234527076377137
-0.561013691136699,-4.165652985739795,-10.091943007122282
-0.6691373987992133,-4.0909965105916815,-9.592513711443422
-0.4373678518111046,-4.435580791070057,-10.293962432415325
-0.46411196965842916,-4.638072314395044,-9.728514678681403
-0.426847798353155,-4.357660782505184,-10.512922770292768
-0.6910683665876509,-4.015537902860948,-9.611845120174266
-0.4215743258449927,-4.676232374733117,-9.907420420885876
-0.5737608638468561,-3.9951418184566077,-10.356482305427713
-0.9353896361882519,-3.9937451368482035,-8.18950303459615
-1.090267547267824,-3.6442289906413405,-7.95926786053244
-1.4514436874424967,-3.5073305764585982,-6.066007847849888
-1.443584308444671,-3.1707665796761395,-6.786292115401763
-1.1725537237121415,-3.7794561255562997,-7.195096532036619
-1.071680192834862,-3.5374954272062604,-8.284259114000372
-0.7682569063866648,-4.346479148980393,-8.486831389141292
-0.49641724999334796,-4.144290984273787,-10.522245656914407
-0.417816470162032,-4.179349170766538,-10.923733962916797
-0.6402523057756293,-4.449127480828309,-9.049562329111673
-0.7017953844760617,-4.082290648156109,-9.413977522253479
-0.4230409402929714,-4.676630362488533,-9.897824758687173
-0.6064035932844939,-3.9052788142764965,-10.340351937162112
-0.8611435746273489,-4.244362425321345,-8.133744827015281
-0.6114718602063992,-4.2665090770388785,-9.587481810105912
-0.7811228625516844,-3.9392030355886187,-9.224187878934721
-1.0799101129172501,-3.637260080342786,-8.035350287232992
-1.3781806968512331,-3.2088665623495007,-7.102513819615664
-1.058873299497354,-3.5268218116010956,-8.382447705235752
-1.1726602676915028,-3.7622850411767086,-7.2287994369196324
-0.9952525151808553,-4.110423336825202,-7.596969360686529
-1.1863422148930995,-3.7484717308384554,-7.17433437438656
-1.0237858688817942,-3.6560294037998444,-8.334557104531612
-1.050484114451984,-3.9452594952284747,-7.595907448253213
-0.9571272269130198,-4.15818525746813,-7.73019724900769
-1.1046207802373122,-3.7073678512017554,-7.746870741594681
-0.9796781763612219,-3.7954853368593344,-8.320291393536067
-1.3373257078530245,-3.568155582255243,-6.629065713793434
-1.6235291601482569,-3.1406035145734985,-5.766949135385529
-1.7045004846601197,-2.992825176917317,-5.576677863626713
-1.6611435278048121,-3.0451345310905897,-5.732200896412015
-1.687542953359302,-3.205496393612894,-5.253080618040466
-1.9141932696968345,-2.6669006095971706,-4.970370288046719
-1.7416482099998771,-2.843137420398246,-5.6531670246263115
-1.754720589498727,-3.181771529965991,-4.89746452849772
-2.0598073034400888,-2.4564539260015272,-4.517579452778479
-1.7738363928198386,-3.3180876542572633,-4.510137459988507
-1.7369097678760839,-3.3217517818190263,-4.72436895452751
-1.6456644653337933,-3.264616451336657,-5.386111430745992
-1.284071482427614,-3.514940235379455,-7.05502176009747
-1.2915512230290822,-3.490885714867869,-7.058252357511835
-1.3396964335528356,-3.6441242940692975,-6.462903935966458
-1.5523287485386954,-3.462062835282077,-5.551232963625741
-1.6708515106497976,-3.3565984628359375,-5.051025135851406
-1.7325938918303048,-3.285563297153306,-4.8226411801336235
-1.5389502110694382,-3.385502958376439,-5.784623942252559
-1.8735894606747159,-2.949593401822632,-4.648607557728506
-1.5305212050154573,-3.375692940399622,-5.854818014530077
-1.694931324781473,-2.9355147829974015,-5.748713610738424
-1.9559445024729059,-2.9343255059482227,-4.185013098688186
-1.7114610230104206,-3.395891090709273,-4.728782805940997
-1.5998833445821266,-3.4828717736436654,-5.224287510641975
-1.4428520655271617,-3.3025944397411555,-6.527029852776786
-1.2181167929544874,-3.694545364552754,-7.091539638589633
-0.9346282752704332,-4.117079360827701,-7.947402752144063
-0.5871852592921977,-4.21167911023906,-9.84286134919076
-0.3975964241287665,-4.564174802749301,-10.275402975150865
-0.23484798153384137,-4.569139897573712,-11.241963441071595
-0.5275349486178149,-4.395686356577777,-9.832748720559623
-0.16929825322300832,-4.431824958139516,-11.909891689804985
-0.11882779300043932,-4.400919698382861,-12.274524970653708
-0.03363639028768207,-5.0208949320532845,-11.545722919589405
-0.29239919755561783,-4.805702778268429,-10.4235303835515
-0.336067949874251,-4.50521428681979,-10.76249485253698
-0.13995657363526193,-4.524700769977885,-11.900190143654724
-0.021957098426671998,-4.917955991872535,-11.821676551116962
-0.301506534917855,-4.487491625291947,-11.005308665331041
-0.5995824964785557,-3.921779897005003,-10.348276352540726
-0.43676584387528894,-4.489229965574176,-10.19027613102198
-0.24633803912838892,-4.591636552864714,-11.128029784922303
-0.08921168449203128,-4.88696917943677,-11.480122659596338
-0.3098421510255844,-4.554851192226936,-10.820575834814688
-0.0346524876921394,-4.531553530419185,-12.518309138430862
-0.08461992464857333,-4.514596164033548,-12.25241924946353
-0.40676223670774625,-4.170211239210241,-11.008335226755108
-0.615433581755526,-4.260327584343866,-9.57607446620118
-0.9484779272032786,-3.9317257723884658,-8.235012017425463
-0.9314622124338169,-3.5787147620850956,-9.043128326648974
-1.1634646900147259,-3.742085541947649,-7.324371901438414
-1.0381879118009607,-3.8954342676273077,-7.769335119361686
-0.8552893199473053,-4.0702653914304605,-8.517064422877313
-0.7643374573367261,-4.0083212867312135,-9.186663807939281
-1.0180832798055688,-4.077842382861974,-7.525146680864706
-1.1217651754938864,-3.516777446446905,-8.025185179564936
-1.3907055255971024,-3.546717771548902,-6.351662428741648
-1.317862730096075,-3.334338099620345,-7.213478545604928
-1.2967575700991898,-3.6456888258859577,-6.717408053055012
-1.6394726744102983,-3.3067994316244222,-5.338896215711432
-1.522214151253607,-3.0363907714044283,-6.583264675091566
-1.7668523987166973,-2.808296179520133,-5.571624374081616
-1.6507271913293355,-3.376627083691472,-5.131713810063109
-1.5585936749553977,-3.4566239492250683,-5.524521177239544
-1.3232976795599363,-3.5873958797587844,-6.6747532885448795
-1.175374280521838,-3.3685010700334543,-8.00008330222413
-1.4731733049943632,-3.0886005635236193,-6.7730901684086495
-1.8140954399041054,-3.1970941171478224,-4.510570251701789
-1.6811896606459333,-2.9513728996403388,-5.799447362265789
-1.6424229517378985,-3.46852926538335,-4.997734884227975
-1.4777237881661733,-3.4861001766677977,-5.950788043089431
-1.5237897489253256,-3.347501680884262,-5.951589270101589
-1.2196937083983777,-3.469127085144678,-7.532914704742445
-0.9604695811277442,-3.5750022537528943,-8.876509131149811
-0.8280019669577052,-4.001324077735852,-8.818671168204132
-0.6330782523097729,-4.1272962782514195,-9.73626905506059
-0.35484706762624935,-4.320903378121491,-11.018441963421589
-0.4624557237488957,-4.250344988245775,-10.513906806437141
-0.6625629230480125,-3.887396285637683,-10.039161015858626
-0.9522605834431025,-4.137940929215416,-7.7998857663326175
-1.08324325160282,-3.945562253438226,-7.398747108928694
-1.2359791539301919,-3.293548556666814,-7.786359088507286
-0.8774576450362879,-3.7312140788832155,-9.062157097437908
-0.6840597713499099,-4.326078351239869,-9.03281579484287
-0.5751926547487507,-4.160460660632048,-10.017253875665466
-0.7785462153578466,-4.160988284490554,-8.79607726429388
-0.7491205030795377,-4.069785825620902,-9.155036455703035
-1.102859209563086,-3.4968839186379737,-8.178408030767603
-1.0798159376028564,-3.7346953134981646,-7.841044872808598
-1.225188180629617,-3.647778689977402,-7.142644661689561
-1.2378078051697807,-3.4090361137822898,-7.544412066838803
-1.1405140123811268,-3.8508355279187216,-7.244575995297862
-1.27048129785904,-3.515327225420471,-7.135788887426882
-1.5830546648855146,-2.949280959498409,-6.39244121711216
-1.563861496685241,-3.361528218398131,-5.683105708514358
-1.4098644539917449,-3.140987033430921,-7.048170334609754
-1.4141036495840218,-3.655284585330215,-5.994140057257504
-1.0700248832726516,-3.844436528769822,-7.680308768246512
-1.1558320079903437,-3.360971608579948,-8.132395860320107
-1.4597869864894804,-3.3369773764966397,-6.356654453491903
-1.260014036143732,-3.6145059086704916,-7.000235091218691
-1.3927896386988738,-3.359975476936387,-6.712642339356049
-1.2996954669154235,-3.7381884529616185,-6.5147814180062875
-1.6352772902644124,-3.3308780676651044,-5.3159112485053805
-1.6405123179373282,-3.189561859301909,-5.567133499194279
-1.8834563854724806,-3.04990335635412,-4.388786099878943
-2.1079334007249058,-2.9054805248614253,-3.3307696713497816
-1.7683431213330336,-2.7671346430676067,-5.645003111288652
-2.058849877025242,-2.5561302937167962,-4.32397127583702
-1.7173141911582501,-3.0224982229593347,-5.440449532553895
-1.7841293672126974,-2.9176777632654547,-5.249199395614971
-1.6323850879251347,-2.975173908161433,-6.04467278154839
-1.4459654057692939,-3.1551779819580137,-6.8031827268902765
-1.3096931548133162,-3.535829312079456,-6.859513572383258
-1.1477841712128318,-3.9034085848320985,-7.095808928480879
-0.947977232761772,-3.690049418265121,-8.721368892321191
-1.301868765680996,-3.367662072365897,-7.242794386604298
-1.1815981540165252,-3.4146222188305733,-7.870497763661767
-1.4611780387859026,-3.5264264149907865,-5.969410062725078
-1.2956529661807008,-3.7161948489131884,-6.583023630511485
-1.5836921654174934,-3.4705627307285183,-5.34605267146007
-1.5948596168419553,-2.92009796236272,-6.379977499644893
-1.7407392713419312,-2.939461479347364,-5.46597253867575
-1.6618195444924406,-3.3227004780300895,-5.173012902407243
-1.975851212533672,-2.586196633541606,-4.761830583136822
-1.7573794827455778,-3.3645184920686813,-4.516017244811237
-1.465673912858988,-3.0574495789540124,-6.880388490360114
-1.167526490019079,-3.7084000239814605,-7.36737213734467
-1.1805341598449284,-3.753097965014414,-7.199930236323667
-1.1154639031851008,-3.4050810485560796,-8.286385609199304
-1.0981249525018364,-3.5039816740689442,-8.192618062273159
-1.1154135768037938,-3.8774658450982424,-7.341917974402818
-0.8941553651333803,-4.0178218585662755,-8.388755217489232
-0.7013951251610575,-4.206193405739963,-9.168573562975794
-0.8324944286084708,-3.7296902623581345,-9.334984029054972
-0.7944153038363384,-3.8064965535897013,-9.409846195224631
-0.6118772176429882,-4.476823372340715,-9.164421074882709
-0.5872838407236008,-4.048285935910687,-10.169056209259088
-0.24565743270557097,-4.4688701524055,-11.37764622437764
-0.08571142983575102,-4.72202868337448,-11.831005179658602
-0.04179286061027429,-4.721817087072727,-12.094939787614964
-0.15477437079079726,-4.590626051948292,-11.679432796780699
-0.04996646545573708,-4.470774414977486,-12.547983502732674
-0.12245127885538042,-4.466601660136219,-12.121420132017345
-0.057580546068315766,-4.515438056121843,-12.412971736768485
-0.12644618219526063,-4.693375789390827,-11.643902453468849
-0.43855566653232003,-4.417318109436604,-10.323360907354939
-0.4327598061965923,-4.642620374720053,-9.907531538802408
-0.3132737332917694,-4.451531941265956,-11.006624843139537
-0.1327758221473593,-4.789996825143301,-11.412682542251309
-0.12095556420471458,-4.897524443916967,-11.268548852359844
-0.3996622130546684,-4.520901698626125,-10.349554449841804
-0.32200823777552895,-4.601283203986708,-10.654715290795478
-0.06304299529721968,-4.951251559767366,-11.508570034104016
-0.19453471862891752,-4.701532935082606,-11.219056943483348
-0.22816835277482309,-4.689050206481375,-11.042220595810377
-0.13234044932524688,-4.837199262899008,-11.320889903672569
-0.44220013781645795,-4.441892663161194,-10.252344972200932
-0.4581726532904277,-4.563989795971726,-9.91231561373605
-0.8009725572304593,-4.151458611539496,-8.680578558960319
-0.7553944297948793,-4.071026997489714,-9.114910551673365
-0.8790744331813287,-3.8077730637206257,-8.899338398892843
-0.975542290034465,-4.0244084112420655,-7.887260562731144
-0.8672286677864719,-3.7970526698489775,-8.991853779005279
-0.6139363499817169,-3.976270690800607,-10.153171643930552
-0.3022695354522106,-4.698721968571589,-10.578269975565625
-0.5726662133976587,-3.9490287558862174,-10.45527633326368
-0.37468024172498143,-4.517637525307766,-10.505974624456647
-0.11823655448065665,-4.492195564008316,-12.095520670521493
-0.2616260235513233,-4.361250832203969,-11.497073319706189
-0.04753371389689246,-5.072269635978267,-11.359589570084177
-0.2154066066440113,-4.651458967308591,-11.193973550940816
-0.3262847370717113,-4.227340530399356,-11.376941642193087
-0.22729961129146678,-4.58612729890451,-11.253278859864245
-0.5107741852001352,-4.557953642564028,-9.608778729093197
-0.5099716336024464,-4.500002764911117,-9.729495793985155
-0.7573239558833165,-4.276002704044896,-8.693381982032376
-0.990648973720198,-3.836644888899809,-8.17214750530126
-1.225700469474703,-3.7069341772053805,-7.021259954163089
-0.8804259278075777,-3.724072238496192,-9.058631081584215
-1.1287244045678422,-3.855478963124389,-7.306026771766236
-1.0952992253999878,-3.95180294851937,-7.313929875983399
-1.2086500432344809,-3.900571649962375,-6.7362875660904304
-1.2834703710540785,-3.3918337325490686,-7.304841433999457
-1.1494611054383654,-3.4090527507798805,-8.074458991232111
-1.2369556319028086,-3.8173582674014566,-6.7328807992023005
-1.1890868288742615,-3.481087112721246,-7.692635926734004
-1.3528147672821071,-3.72748747786948,-6.217467565990464
-1.2809643651769356,-3.593267661692857,-6.9170096109747385
-1.3075668257478423,-3.799554427266223,-6.344821316402565
-1.3799820846543132,-3.190863016236828,-7.127712585022532
-1.2795028751830182,-3.8390266617913933,-6.434260550741171
-1.615686902030979,-3.0255049554868862,-6.044199802262418
-1.7498656279501124,-2.8696804432195915,-5.550776471282208
-1.8076118796514578,-2.914617338723044,-5.114425170067232
-1.6985998244676364,-3.1665600365088724,-5.264612105598503
-1.8087834662794604,-2.8402251484267858,-5.256180030891733
-1.648442649612575,-3.306168680776765,-5.286337866193086
-1.7639916836419758,-2.971223949757135,-5.26293312405594
-1.5270445100242602,-3.3436911284906543,-5.939681808295195
-1.3684527217856601,-3.362382270812183,-6.853850253083738
-1.512466595413572,-3.163762295882407,-6.3870069611758185
-1.5267791175506602,-3.437382425931601,-5.753891568254904
-1.6075350413589147,-3.1396676004310367,-5.864785676406505
-1.728295168140065,-3.2207675958069775,-4.9780249249677215
-1.4556178403247266,-3.0857167700293227,-6.8841905434150625
-1.3463650278268373,-3.3390656415886633,-7.033009675283716
-1.4989038540484123,-3.4711944820316867,-5.85351903706822
-1.769647910049572,-3.0364600694509507,-5.098523526222733
-1.9920107574721244,-2.5897862040590156,-4.657694172471286
-2.152903212661336,-2.664974346189264,-3.541963157075524
-2.0099363000524813,-3.0811423993350915,-3.5674285264369936
-1.9932612185272456,-2.7751578944835065,-4.27944802529158
-1.7790336731467298,-2.884482761334979,-5.34616356387173
-1.522803357964765,-3.0779940452461787,-6.4965228871411185
-1.5322030766500105,-3.517005901295163,-5.562100862931676
-1.630863522815295,-3.2419702917248356,-5.5202094050806245
-1.6177473873496815,-3.029781072783419,-6.023284655757139
-1.4385517602978133,-3.426862536486834,-6.3042954906615165
-1.4717159315621289,-3.177983071977702,-6.603069392093888
-1.4240325992688496,-3.546484929420371,-6.152165670968226
-1.516110371068743,-3.292341985057245,-6.10798492889512
-1.1794829450247406,-3.6797486458426714,-7.3529361635882795
-1.0591745637993761,-3.9844717463982944,-7.46534024982922
-1.360323510321824,-3.276868186711073,-7.0736536900689755
-1.4629595478668536,-3.3764832944414778,-6.258607249337989
-1.1733019273409364,-3.4425026248703996,-7.864514311635649
-0.9831063845547119,-3.875522940138591,-8.139646937816615
-1.3256458299038567,-3.3019371031666345,-7.231581939665657
-1.3858729156695708,-3.2623657537220834,-6.949362123960473
-1.52938285500757,-3.007556567132151,-6.5979208611123425
-1.5368531442122482,-3.333228966524649,-5.901754327099279
-1.7160106040471357,-3.3838409758221735,-4.725585549494905
-1.8995127464540071,-2.81872624588726,-4.754802154923504
-1.5688900936516859,-3.3806802832318654,-5.614629997048221
-1.6915644398370837,-2.9263506114932403,-5.787243263413082
-1.5334264097984853,-3.1601902882350115,-6.2683920901611305
-1.5302490830133006,-3.518155678097422,-5.5715252711474195
-1.183258754741374,-3.5704877494886853,-7.548803097996452
-1.1723129353997928,-3.755467087172356,-7.244519338678598
-1.3243873936014208,-3.7638263234709393,-6.315354116871664
-1.0892407685346306,-3.4452433923306724,-8.363399729552938
