#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.000   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.084  0.000  0.891  0.975
   0.032   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.064   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.096   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.128   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.160   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.192   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.224   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.255   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.287   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.319   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.351   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.383   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.415   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.447   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.479   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.511   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.543   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.731  0.975
   0.575   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.731  0.975
   0.607   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.731  0.975
   0.607   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.731  0.975
   0.618   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.731  0.975
   0.629   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.731  0.975
   0.641   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.732  0.975
   0.652   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.731  0.975
   0.663   -20.494  0.000  0.000  0.000  0.000  0.000  0.000  0.244  0.000  0.731  0.975
