#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.000   -20.494  0.008  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   0.032   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.064   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.096   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.128   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.160   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.192   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.224   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.255   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.287   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.319   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.351   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.383   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.415   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.447   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.479   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.511   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.543   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.575   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.607   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.607   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.618   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.629   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.641   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.652   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.663   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.675   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.686   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.697   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.708   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.720   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.731   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.742   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.754   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.765   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.776   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.787   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.799   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.810   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.821   -20.494  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.821   -20.494  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.855   -20.494  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.889   -20.494  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.923   -20.494  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.957   -20.494  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   0.991   -20.494  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.025   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.058   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.092   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.126   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.160   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.194   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.228   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.262   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.295   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.329   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.363   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.397   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.431   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.012
   1.465   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.010
   1.465   -20.494  0.008  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.493   -20.494  0.008  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.520   -20.494  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.010
   1.548   -20.494  0.010  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
