#K-Path     Energy-Level
#Band-index    1
  0.000      -39.1225
  0.034      -39.1225
  0.069      -39.1225
  0.103      -39.1225
  0.137      -39.1225
  0.172      -39.1225
  0.206      -39.1225
  0.241      -39.1225
  0.275      -39.1225
  0.309      -39.1225
  0.344      -39.1224
  0.378      -39.1224
  0.412      -39.1224
  0.447      -39.1224
  0.481      -39.1224
  0.515      -39.1224
  0.550      -39.1224
  0.584      -39.1224
  0.619      -39.1224
  0.653      -39.1224
  0.653      -39.1224
  0.673      -39.1224
  0.693      -39.1224
  0.712      -39.1224
  0.732      -39.1224
  0.752      -39.1224
  0.772      -39.1224
  0.792      -39.1224
  0.812      -39.1224
  0.831      -39.1224
  0.851      -39.1224
  0.871      -39.1224
  0.891      -39.1224
  0.911      -39.1224
  0.931      -39.1223
  0.950      -39.1223
  0.970      -39.1223
  0.990      -39.1223
  1.010      -39.1223
  1.030      -39.1223
  1.030      -39.1223
  1.069      -39.1223
  1.109      -39.1224
  1.149      -39.1224
  1.189      -39.1224
  1.228      -39.1224
  1.268      -39.1224
  1.308      -39.1224
  1.347      -39.1224
  1.387      -39.1224
  1.427      -39.1224
  1.466      -39.1225
  1.506      -39.1225
  1.546      -39.1225
  1.585      -39.1225
  1.625      -39.1225
  1.665      -39.1225
  1.704      -39.1225
  1.744      -39.1225
  1.784      -39.1225
  1.784      -39.1225
  1.791      -39.1225
  1.799      -39.1225
  1.806      -39.1225
  1.814      -39.1225
  1.821      -39.1225
  1.829      -39.1225
  1.837      -39.1225
  1.844      -39.1225
  1.852      -39.1225
  1.859      -39.1225
  1.867      -39.1225
  1.874      -39.1225
  1.882      -39.1225
  1.890      -39.1225
  1.897      -39.1225
  1.905      -39.1225
  1.912      -39.1225
  1.920      -39.1225
  1.927      -39.1225
  1.927      -39.1225
  1.962      -39.1225
  1.996      -39.1225
  2.030      -39.1225
  2.065      -39.1225
  2.099      -39.1225
  2.134      -39.1225
  2.168      -39.1225
  2.202      -39.1225
  2.237      -39.1225
  2.271      -39.1224
  2.305      -39.1224
  2.340      -39.1224
  2.374      -39.1224
  2.408      -39.1224
  2.443      -39.1224
  2.477      -39.1224
  2.511      -39.1224
  2.546      -39.1224
  2.580      -39.1224
  2.580      -39.1224
  2.600      -39.1224
  2.620      -39.1224
  2.640      -39.1224
  2.660      -39.1224
  2.679      -39.1224
  2.699      -39.1224
  2.719      -39.1224
  2.739      -39.1224
  2.759      -39.1224
  2.779      -39.1224
  2.798      -39.1224
  2.818      -39.1223
  2.838      -39.1223
  2.858      -39.1223
  2.878      -39.1223
  2.898      -39.1223
  2.917      -39.1223
  2.937      -39.1223
  2.957      -39.1223
  2.957      -39.1223
  2.997      -39.1223
  3.036      -39.1223
  3.076      -39.1224
  3.116      -39.1224
  3.156      -39.1224
  3.195      -39.1224
  3.235      -39.1224
  3.275      -39.1224
  3.314      -39.1224
  3.354      -39.1224
  3.394      -39.1224
  3.433      -39.1225
  3.473      -39.1225
  3.513      -39.1225
  3.552      -39.1225
  3.592      -39.1225
  3.632      -39.1225
  3.671      -39.1225
  3.711      -39.1225
  3.711      -39.1224
  3.719      -39.1224
  3.726      -39.1224
  3.734      -39.1224
  3.741      -39.1224
  3.749      -39.1224
  3.756      -39.1224
  3.764      -39.1224
  3.772      -39.1224
  3.779      -39.1224
  3.787      -39.1224
  3.794      -39.1224
  3.802      -39.1224
  3.809      -39.1224
  3.817      -39.1224
  3.824      -39.1224
  3.832      -39.1224
  3.840      -39.1224
  3.847      -39.1224
  3.855      -39.1224
  3.855      -39.1223
  3.862      -39.1223
  3.870      -39.1223
  3.877      -39.1223
  3.885      -39.1223
  3.892      -39.1223
  3.900      -39.1223
  3.908      -39.1223
  3.915      -39.1223
  3.923      -39.1223
  3.930      -39.1223
  3.938      -39.1223
  3.945      -39.1223
  3.953      -39.1223
  3.961      -39.1223
  3.968      -39.1223
  3.976      -39.1223
  3.983      -39.1223
  3.991      -39.1223
  3.998      -39.1223
#Band-index    2
  3.998      -39.1223
  3.991      -39.1223
  3.983      -39.1223
  3.976      -39.1223
  3.968      -39.1223
  3.961      -39.1223
  3.953      -39.1223
  3.945      -39.1223
  3.938      -39.1223
  3.930      -39.1223
  3.923      -39.1223
  3.915      -39.1223
  3.908      -39.1223
  3.900      -39.1223
  3.892      -39.1223
  3.885      -39.1223
  3.877      -39.1223
  3.870      -39.1223
  3.862      -39.1223
  3.855      -39.1223
  3.855      -39.1224
  3.847      -39.1224
  3.840      -39.1224
  3.832      -39.1224
  3.824      -39.1224
  3.817      -39.1224
  3.809      -39.1224
  3.802      -39.1224
  3.794      -39.1224
  3.787      -39.1224
  3.779      -39.1224
  3.772      -39.1224
  3.764      -39.1224
  3.756      -39.1224
  3.749      -39.1224
  3.741      -39.1224
  3.734      -39.1224
  3.726      -39.1224
  3.719      -39.1224
  3.711      -39.1224
  3.711      -39.1225
  3.671      -39.1225
  3.632      -39.1225
  3.592      -39.1225
  3.552      -39.1225
  3.513      -39.1225
  3.473      -39.1225
  3.433      -39.1225
  3.394      -39.1224
  3.354      -39.1224
  3.314      -39.1224
  3.275      -39.1224
  3.235      -39.1224
  3.195      -39.1224
  3.156      -39.1224
  3.116      -39.1224
  3.076      -39.1224
  3.036      -39.1223
  2.997      -39.1223
  2.957      -39.1223
  2.957      -39.1223
  2.937      -39.1223
  2.917      -39.1223
  2.898      -39.1223
  2.878      -39.1223
  2.858      -39.1223
  2.838      -39.1223
  2.818      -39.1223
  2.798      -39.1224
  2.779      -39.1224
  2.759      -39.1224
  2.739      -39.1224
  2.719      -39.1224
  2.699      -39.1224
  2.679      -39.1224
  2.660      -39.1224
  2.640      -39.1224
  2.620      -39.1224
  2.600      -39.1224
  2.580      -39.1224
  2.580      -39.1224
  2.546      -39.1224
  2.511      -39.1224
  2.477      -39.1224
  2.443      -39.1224
  2.408      -39.1224
  2.374      -39.1224
  2.340      -39.1224
  2.305      -39.1224
  2.271      -39.1224
  2.237      -39.1225
  2.202      -39.1225
  2.168      -39.1225
  2.134      -39.1225
  2.099      -39.1225
  2.065      -39.1225
  2.030      -39.1225
  1.996      -39.1225
  1.962      -39.1225
  1.927      -39.1225
  1.927      -39.1225
  1.920      -39.1225
  1.912      -39.1225
  1.905      -39.1225
  1.897      -39.1225
  1.890      -39.1225
  1.882      -39.1225
  1.874      -39.1225
  1.867      -39.1225
  1.859      -39.1225
  1.852      -39.1225
  1.844      -39.1225
  1.837      -39.1225
  1.829      -39.1225
  1.821      -39.1225
  1.814      -39.1225
  1.806      -39.1225
  1.799      -39.1225
  1.791      -39.1225
  1.784      -39.1225
  1.784      -39.1225
  1.744      -39.1225
  1.704      -39.1225
  1.665      -39.1225
  1.625      -39.1225
  1.585      -39.1225
  1.546      -39.1225
  1.506      -39.1225
  1.466      -39.1224
  1.427      -39.1224
  1.387      -39.1224
  1.347      -39.1224
  1.308      -39.1224
  1.268      -39.1224
  1.228      -39.1224
  1.189      -39.1223
  1.149      -39.1223
  1.109      -39.1223
  1.069      -39.1223
  1.030      -39.1223
  1.030      -39.1223
  1.010      -39.1223
  0.990      -39.1223
  0.970      -39.1223
  0.950      -39.1223
  0.931      -39.1223
  0.911      -39.1223
  0.891      -39.1223
  0.871      -39.1223
  0.851      -39.1223
  0.831      -39.1223
  0.812      -39.1223
  0.792      -39.1224
  0.772      -39.1224
  0.752      -39.1224
  0.732      -39.1224
  0.712      -39.1224
  0.693      -39.1224
  0.673      -39.1224
  0.653      -39.1224
  0.653      -39.1224
  0.619      -39.1224
  0.584      -39.1224
  0.550      -39.1224
  0.515      -39.1224
  0.481      -39.1224
  0.447      -39.1224
  0.412      -39.1224
  0.378      -39.1224
  0.344      -39.1224
  0.309      -39.1224
  0.275      -39.1225
  0.241      -39.1225
  0.206      -39.1225
  0.172      -39.1225
  0.137      -39.1225
  0.103      -39.1225
  0.069      -39.1225
  0.034      -39.1225
  0.000      -39.1225
#Band-index    3
  0.000      -20.5597
  0.034      -20.5574
  0.069      -20.5514
  0.103      -20.5415
  0.137      -20.5276
  0.172      -20.5101
  0.206      -20.4891
  0.241      -20.4648
  0.275      -20.4376
  0.309      -20.4076
  0.344      -20.3754
  0.378      -20.3419
  0.412      -20.3083
  0.447      -20.2763
  0.481      -20.2481
  0.515      -20.2424
  0.550      -20.2417
  0.584      -20.2420
  0.619      -20.2425
  0.653      -20.2426
  0.653      -20.2426
  0.673      -20.2425
  0.693      -20.2422
  0.712      -20.2417
  0.732      -20.2410
  0.752      -20.2402
  0.772      -20.2391
  0.792      -20.2379
  0.812      -20.2365
  0.831      -20.2351
  0.851      -20.2335
  0.871      -20.2318
  0.891      -20.2300
  0.911      -20.2282
  0.931      -20.2264
  0.950      -20.2247
  0.970      -20.2230
  0.990      -20.2217
  1.010      -20.2207
  1.030      -20.2204
  1.030      -20.2204
  1.069      -20.2216
  1.109      -20.2239
  1.149      -20.2262
  1.189      -20.2282
  1.228      -20.2302
  1.268      -20.2333
  1.308      -20.2499
  1.347      -20.2845
  1.387      -20.3229
  1.427      -20.3620
  1.466      -20.3999
  1.506      -20.4350
  1.546      -20.4666
  1.585      -20.4941
  1.625      -20.5172
  1.665      -20.5355
  1.704      -20.5487
  1.744      -20.5568
  1.784      -20.5597
  1.784      -20.5597
  1.791      -20.5597
  1.799      -20.5597
  1.806      -20.5592
  1.814      -20.5590
  1.821      -20.5588
  1.829      -20.5585
  1.837      -20.5582
  1.844      -20.5578
  1.852      -20.5574
  1.859      -20.5570
  1.867      -20.5565
  1.874      -20.5560
  1.882      -20.5553
  1.890      -20.5547
  1.897      -20.5541
  1.905      -20.5535
  1.912      -20.5529
  1.920      -20.5522
  1.927      -20.5513
  1.927      -20.5513
  1.962      -20.5493
  1.996      -20.5433
  2.030      -20.5333
  2.065      -20.5194
  2.099      -20.5018
  2.134      -20.4806
  2.168      -20.4559
  2.202      -20.4281
  2.237      -20.3977
  2.271      -20.3652
  2.305      -20.3315
  2.340      -20.2982
  2.374      -20.2683
  2.408      -20.2472
  2.443      -20.2395
  2.477      -20.2387
  2.511      -20.2395
  2.546      -20.2402
  2.580      -20.2405
  2.580      -20.2405
  2.600      -20.2404
  2.620      -20.2402
  2.640      -20.2397
