Al,O,Y
-7.877669782707438,-0.46165411701814574,-9.569050689081687
-7.304784209179562,-0.9124014290695424,-8.720870730089226
-7.3624986833129675,-0.8164432885638266,-9.008512501889745
-6.9902542018430855,-1.1312060988846557,-8.3698687297229
-6.434239273037075,-1.5546804219705244,-7.6026629853894425
-6.658061407928042,-1.396421524232641,-7.862661684856032
-7.347065113494158,-0.9329931227567199,-8.568035781482855
-7.11996029678842,-1.0429579510672744,-8.506684496083535
-6.410369461885002,-1.4795961017498305,-7.942783284859005
-5.968966457641507,-1.8517270491235767,-7.18993116910318
-6.576361942915872,-1.4368641596097642,-7.837056918367821
-5.842088912290135,-1.9252439879511878,-7.107325989378356
-4.9691591220416536,-2.409955537275724,-6.62336277582768
-4.954329995679133,-2.5171328235280903,-6.219368841422416
-5.313815953301633,-2.286050983186187,-6.544552940085862
-4.78776303934813,-2.553488272876534,-6.351558637913644
-4.5168449599711815,-2.703926980582004,-6.201333939386679
-4.704089057320092,-2.7077331022466975,-5.874035957146387
-5.3636949512334455,-2.2424350829931337,-6.635884877638387
-5.085562946912774,-2.3370243648767284,-6.721081090638464
-4.648767112588146,-2.6140515518301166,-6.340965400032621
-5.404087850448547,-2.1800002939744103,-6.818302535021446
-4.834574037751163,-2.586650658063031,-6.140890766495937
-4.513786982219333,-2.702408766335918,-6.212503425957436
-4.231455093118895,-2.929999175229144,-5.772694938885264
-3.749587348340606,-3.2204255511245234,-5.414102343267563
-4.064593512243371,-3.0988640413820137,-5.375338109066326
-3.537718686166189,-3.473059317447814,-4.7566817149317595
-4.1941396883935,-2.9716815524194113,-5.668157771333186
-4.598777150242172,-2.655433024068057,-6.258756114990819
-4.859852285190277,-2.577899574727046,-6.133764687441353
-5.270621908539924,-2.2343546807646635,-6.823328224374803
-4.599652830277061,-2.738499118669222,-5.925032269861344
-4.754644700548159,-2.5417112965752477,-6.453863774452075
-4.877765747325114,-2.5716746535862076,-6.128808601779976
-4.3304822180209,-2.84228557340878,-5.958504137996713
-5.103804474226565,-2.39576570109976,-6.455713200223349
-4.15696344955719,-2.9957756125089476,-5.633741929035556
-4.2650871133098915,-2.9408177842447327,-5.673367135837913
-3.8451894396799915,-3.276819897737966,-5.029188137914813
-4.437634070353336,-2.8174685549339658,-5.879185791341908
-3.895810908092568,-3.150389942781561,-5.450538843719475
-3.1856456350371642,-3.5879683203953583,-4.883834121689959
-3.679382991620129,-3.3462008906329745,-5.028008246434553
-4.05858243858103,-3.0966918265184407,-5.394045424624521
-3.4727128224273804,-3.4476590126921107,-4.966626040185922
-3.1699075691712904,-3.72450362548212,-4.363923011119367
-3.0040555020375255,-3.787401079916246,-4.388753305272471
-2.7197697494239956,-3.923861560642173,-4.31672097005798
-2.020517282459201,-4.413275292824805,-3.5244868196021115
-2.6060004442945077,-3.978741631076478,-4.286816196869906
-2.0366857248711034,-4.447913658311444,-3.358985953635717
-2.2289594731727047,-4.296486102189378,-3.6442399309546487
-2.388403966737057,-4.1731482912341376,-3.8718503521683534
-1.689115360228279,-4.707767153134888,-2.8988559154133133
-2.0907257603082576,-4.377365852908742,-3.5511104495179335
-1.9154428791092208,-4.5458451185044435,-3.169331522466854
-1.050977949436713,-5.110784651661596,-2.3503482726257623
-0.7615007108037424,-5.286096795454406,-2.131561761842805
-0.6401149186337506,-5.337802010688373,-2.12705055452359
-0.9044861914064806,-5.200200606786784,-2.236837382175396
-0.12336859533074286,-5.650457153003065,-1.737673857436504
-0.2008389321525285,-5.604025960374214,-1.7942813999155942
-0.7360718465215471,-5.247888955125679,-2.3267745636280415
-1.243069737732844,-4.922535833312445,-2.7831905655288107
-2.249036986668549,-4.345570977785686,-3.4144379060763423
-1.5686434170415446,-4.774785773493385,-2.831568005957217
-1.536443981196845,-4.697260027976906,-3.195336714430963
-2.129668867893845,-4.355439567723747,-3.573910410948603
-1.6156855534951704,-4.667452813799908,-3.182496283975081
-2.480806600666036,-4.109216452219511,-3.9735733183452266
-2.2262252489199565,-4.322824013731133,-3.543445325208871
-2.1256790663449183,-4.34615308342568,-3.6177060173890805
-2.870354900190559,-3.875329235425463,-4.259875019647216
-2.9681174431766566,-3.7348319885113836,-4.658926435660037
-3.9338703872176244,-3.1580063788073502,-5.3566406344078885
-3.8060157517134585,-3.213899628463884,-5.3461586949553626
-3.4676189883435815,-3.4448160686175266,-4.986487539957258
-3.403562340558182,-3.547999555368366,-4.680514672596232
-3.458447669441496,-3.5185601180859707,-4.706796873586956
-3.3842276005732446,-3.5144298832863683,-4.847017927565785
-4.208719751267803,-2.9819278114881564,-5.602872630267702
-4.359144678758005,-2.808851447800126,-6.044469872536152
-5.071213115432616,-2.3416243851630307,-6.726597395293515
-4.328236790261822,-2.8756002598190924,-5.828987771953928
-5.01336976835117,-2.405925083447219,-6.565800180625837
-4.708564187145792,-2.653280120560123,-6.084389334183187
-4.264303169302742,-2.87590627754648,-5.934319735976174
-4.749141517461154,-2.5619422070256737,-6.382112104462046
-4.164549019230559,-2.945523640618084,-5.82210720047673
-3.5522375146332634,-3.4449033334629395,-4.845107603426135
-4.221146625520932,-2.948413275860204,-5.71621931569096
-3.625952944747233,-3.3281061993271286,-5.189437089779428
-2.714679218173585,-3.9282153485966984,-4.307790036990565
-2.9736550492386904,-3.7448872905403365,-4.6094758841075025
-3.5910654334697707,-3.351003812761266,-5.155992488171983
-3.788919735292691,-3.315775557758604,-4.967148338477763
-3.553233649920671,-3.463827256729089,-4.767751684882525
-3.5715072446102667,-3.352459493388706,-5.18276674709473
-3.7738031990368057,-3.216614395204104,-5.388987215788907
-3.939490975083434,-3.174855755380742,-5.279875481671307
-3.7079742319424023,-3.2495800056719095,-5.366839719075023
-4.218266605735262,-2.929428447613248,-5.7969586616549025
-4.969627641926919,-2.466910505224317,-6.394762037557864
-5.109504662979304,-2.3046659042243025,-6.810612073137283
-4.728846429291232,-2.6509056686847883,-6.060083404775458
-4.939092545533042,-2.4411882842942534,-6.54854274860125
-5.692059864380954,-1.9613321156705734,-7.213021891682781
-6.198750112349719,-1.644979317853101,-7.6339493363380635
-7.047732247799481,-1.0322885624569145,-8.669742132173203
