 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   0.000      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.040      0.8322E+04      0.8322E+04      0.8322E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.080      0.1033E+05      0.1033E+05      0.1033E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.119      0.1125E+05      0.1125E+05      0.1125E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.159      0.1175E+05      0.1175E+05      0.1175E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.199      0.1203E+05      0.1203E+05      0.1203E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.239      0.1222E+05      0.1222E+05      0.1222E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.279      0.1234E+05      0.1234E+05      0.1234E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.319      0.1243E+05      0.1243E+05      0.1243E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.359      0.1249E+05      0.1249E+05      0.1249E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.399      0.1255E+05      0.1255E+05      0.1255E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.438      0.1259E+05      0.1259E+05      0.1259E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.478      0.1263E+05      0.1263E+05      0.1263E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.518      0.1267E+05      0.1267E+05      0.1267E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.558      0.1270E+05      0.1270E+05      0.1270E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.598      0.1273E+05      0.1273E+05      0.1273E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.638      0.1277E+05      0.1277E+05      0.1277E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.677      0.1280E+05      0.1280E+05      0.1280E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.717      0.1283E+05      0.1283E+05      0.1283E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.757      0.1286E+05      0.1286E+05      0.1286E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.797      0.1290E+05      0.1290E+05      0.1290E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.837      0.1293E+05      0.1293E+05      0.1293E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.877      0.1297E+05      0.1297E+05      0.1297E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.916      0.1301E+05      0.1301E+05      0.1301E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.956      0.1305E+05      0.1305E+05      0.1305E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.996      0.1308E+05      0.1308E+05      0.1308E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.036      0.1313E+05      0.1313E+05      0.1313E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.076      0.1317E+05      0.1317E+05      0.1317E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.116      0.1322E+05      0.1322E+05      0.1322E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.156      0.1326E+05      0.1326E+05      0.1326E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.196      0.1331E+05      0.1331E+05      0.1331E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.235      0.1336E+05      0.1336E+05      0.1336E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.275      0.1342E+05      0.1342E+05      0.1342E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.315      0.1347E+05      0.1347E+05      0.1347E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.355      0.1353E+05      0.1353E+05      0.1353E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.395      0.1359E+05      0.1359E+05      0.1359E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.435      0.1366E+05      0.1366E+05      0.1366E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.474      0.1372E+05      0.1372E+05      0.1372E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.514      0.1379E+05      0.1379E+05      0.1379E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.554      0.1386E+05      0.1386E+05      0.1386E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.594      0.1394E+05      0.1394E+05      0.1394E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.634      0.1401E+05      0.1401E+05      0.1401E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.674      0.1410E+05      0.1410E+05      0.1410E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.714      0.1418E+05      0.1418E+05      0.1418E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.753      0.1427E+05      0.1427E+05      0.1427E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.793      0.1436E+05      0.1436E+05      0.1436E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.833      0.1445E+05      0.1445E+05      0.1445E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.873      0.1455E+05      0.1455E+05      0.1455E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.913      0.1465E+05      0.1465E+05      0.1465E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.953      0.1476E+05      0.1476E+05      0.1476E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.992      0.1487E+05      0.1487E+05      0.1487E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.032      0.1499E+05      0.1499E+05      0.1499E+05      0.0000E+00      0.0000E+00      0.0000E+00
