#K-Path             Spin-Up       Spin-Down
#Band-index    1
  0.000      -20.4940      -20.4940
  0.032      -20.4940      -20.4940
  0.064      -20.4940      -20.4940
  0.096      -20.4940      -20.4940
  0.128      -20.4940      -20.4940
  0.160      -20.4940      -20.4940
  0.192      -20.4940      -20.4940
  0.224      -20.4940      -20.4940
  0.255      -20.4941      -20.4941
  0.287      -20.4941      -20.4941
  0.319      -20.4941      -20.4941
  0.351      -20.4941      -20.4941
  0.383      -20.4941      -20.4941
  0.415      -20.4941      -20.4941
  0.447      -20.4942      -20.4942
  0.479      -20.4942      -20.4942
  0.511      -20.4942      -20.4942
  0.543      -20.4942      -20.4942
  0.575      -20.4942      -20.4942
  0.607      -20.4942      -20.4942
  0.607      -20.4942      -20.4942
  0.618      -20.4942      -20.4942
  0.629      -20.4942      -20.4942
  0.641      -20.4942      -20.4942
  0.652      -20.4942      -20.4942
  0.663      -20.4942      -20.4942
  0.675      -20.4942      -20.4942
  0.686      -20.4942      -20.4942
  0.697      -20.4942      -20.4942
  0.708      -20.4942      -20.4942
  0.720      -20.4942      -20.4942
  0.731      -20.4942      -20.4942
  0.742      -20.4942      -20.4942
  0.754      -20.4942      -20.4942
  0.765      -20.4942      -20.4942
  0.776      -20.4942      -20.4942
  0.787      -20.4941      -20.4941
  0.799      -20.4941      -20.4941
  0.810      -20.4941      -20.4941
  0.821      -20.4941      -20.4941
  0.821      -20.4941      -20.4941
  0.855      -20.4941      -20.4941
  0.889      -20.4941      -20.4941
  0.923      -20.4941      -20.4941
  0.957      -20.4941      -20.4941
  0.991      -20.4941      -20.4941
  1.025      -20.4941      -20.4941
  1.058      -20.4941      -20.4941
  1.092      -20.4941      -20.4941
  1.126      -20.4941      -20.4941
  1.160      -20.4941      -20.4941
  1.194      -20.4941      -20.4941
  1.228      -20.4940      -20.4940
  1.262      -20.4940      -20.4940
  1.295      -20.4940      -20.4940
  1.329      -20.4940      -20.4940
  1.363      -20.4940      -20.4940
  1.397      -20.4940      -20.4940
  1.431      -20.4940      -20.4940
  1.465      -20.4940      -20.4940
  1.465      -20.4940      -20.4940
  1.493      -20.4940      -20.4940
  1.520      -20.4940      -20.4940
  1.548      -20.4940      -20.4940
  1.575      -20.4940      -20.4940
  1.603      -20.4940      -20.4940
  1.631      -20.4940      -20.4940
  1.658      -20.4940      -20.4940
  1.686      -20.4940      -20.4940
  1.714      -20.4940      -20.4940
  1.741      -20.4940      -20.4940
  1.769      -20.4940      -20.4940
  1.797      -20.4940      -20.4941
  1.824      -20.4940      -20.4940
  1.852      -20.4941      -20.4941
  1.880      -20.4941      -20.4941
  1.907      -20.4941      -20.4941
  1.935      -20.4941      -20.4941
  1.963      -20.4941      -20.4941
  1.990      -20.4941      -20.4941
  1.990      -20.4941      -20.4941
  2.013      -20.4941      -20.4941
  2.035      -20.4941      -20.4941
  2.058      -20.4941      -20.4941
  2.081      -20.4941      -20.4941
  2.103      -20.4941      -20.4941
  2.126      -20.4941      -20.4941
  2.148      -20.4941      -20.4941
  2.171      -20.4941      -20.4941
  2.194      -20.4941      -20.4941
  2.216      -20.4941      -20.4941
  2.239      -20.4941      -20.4941
  2.261      -20.4941      -20.4941
  2.284      -20.4941      -20.4941
  2.306      -20.4941      -20.4941
  2.329      -20.4941      -20.4941
  2.352      -20.4941      -20.4941
  2.374      -20.4941      -20.4941
  2.397      -20.4941      -20.4941
  2.419      -20.4941      -20.4941
  2.419      -20.4941      -20.4941
  2.435      -20.4941      -20.4941
  2.451      -20.4941      -20.4941
  2.467      -20.4941      -20.4941
  2.483      -20.4941      -20.4941
  2.499      -20.4941      -20.4941
  2.515      -20.4941      -20.4941
  2.531      -20.4941      -20.4941
  2.547      -20.4942      -20.4942
  2.563      -20.4942      -20.4942
  2.579      -20.4942      -20.4942
  2.595      -20.4942      -20.4942
  2.611      -20.4942      -20.4942
  2.627      -20.4942      -20.4942
  2.643      -20.4942      -20.4942
  2.659      -20.4942      -20.4942
  2.675      -20.4942      -20.4942
  2.691      -20.4942      -20.4942
  2.707      -20.4942      -20.4942
  2.723      -20.4942      -20.4942
#Band-index    2
  2.723      -20.4940      -20.4940
  2.707      -20.4940      -20.4940
  2.691      -20.4940      -20.4940
  2.675      -20.4940      -20.4940
  2.659      -20.4940      -20.4940
  2.643      -20.4940      -20.4940
  2.627      -20.4940      -20.4940
  2.611      -20.4940      -20.4940
  2.595      -20.4940      -20.4940
  2.579      -20.4940      -20.4940
  2.563      -20.4940      -20.4940
  2.547      -20.4940      -20.4940
  2.531      -20.4940      -20.4940
  2.515      -20.4940      -20.4940
  2.499      -20.4940      -20.4940
  2.483      -20.4940      -20.4940
  2.467      -20.4940      -20.4940
  2.451      -20.4940      -20.4940
  2.435      -20.4940      -20.4940
  2.419      -20.4940      -20.4940
  2.419      -20.4940      -20.4940
  2.397      -20.4940      -20.4940
  2.374      -20.4940      -20.4940
  2.352      -20.4940      -20.4940
  2.329      -20.4940      -20.4940
  2.306      -20.4940      -20.4940
  2.284      -20.4941      -20.4941
  2.261      -20.4941      -20.4941
  2.239      -20.4941      -20.4941
  2.216      -20.4940      -20.4940
  2.194      -20.4941      -20.4941
  2.171      -20.4941      -20.4941
  2.148      -20.4941      -20.4941
  2.126      -20.4941      -20.4941
  2.103      -20.4941      -20.4941
  2.081      -20.4941      -20.4941
  2.058      -20.4941      -20.4941
  2.035      -20.4941      -20.4941
  2.013      -20.4941      -20.4941
  1.990      -20.4941      -20.4941
  1.990      -20.4941      -20.4941
  1.963      -20.4941      -20.4941
  1.935      -20.4941      -20.4941
  1.907      -20.4941      -20.4941
  1.880      -20.4941      -20.4941
  1.852      -20.4941      -20.4941
  1.824      -20.4940      -20.4940
  1.797      -20.4940      -20.4941
  1.769      -20.4940      -20.4940
  1.741      -20.4940      -20.4940
  1.714      -20.4940      -20.4940
  1.686      -20.4940      -20.4940
  1.658      -20.4940      -20.4940
  1.631      -20.4940      -20.4940
  1.603      -20.4940      -20.4940
  1.575      -20.4940      -20.4940
  1.548      -20.4940      -20.4940
  1.520      -20.4940      -20.4940
  1.493      -20.4940      -20.4940
  1.465      -20.4940      -20.4940
  1.465      -20.4940      -20.4940
  1.431      -20.4940      -20.4940
  1.397      -20.4940      -20.4940
  1.363      -20.4940      -20.4940
  1.329      -20.4940      -20.4940
  1.295      -20.4940      -20.4940
  1.262      -20.4940      -20.4940
  1.228      -20.4940      -20.4940
  1.194      -20.4940      -20.4940
  1.160      -20.4940      -20.4940
  1.126      -20.4940      -20.4940
  1.092      -20.4940      -20.4940
  1.058      -20.4941      -20.4941
  1.025      -20.4941      -20.4941
  0.991      -20.4941      -20.4941
  0.957      -20.4941      -20.4941
  0.923      -20.4941      -20.4941
  0.889      -20.4941      -20.4941
  0.855      -20.4940      -20.4940
  0.821      -20.4940      -20.4940
  0.821      -20.4940      -20.4940
  0.810      -20.4940      -20.4940
  0.799      -20.4940      -20.4940
  0.787      -20.4940      -20.4940
  0.776      -20.4940      -20.4940
  0.765      -20.4940      -20.4940
  0.754      -20.4940      -20.4940
  0.742      -20.4940      -20.4940
  0.731      -20.4940      -20.4940
  0.720      -20.4940      -20.4940
  0.708      -20.4940      -20.4940
  0.697      -20.4940      -20.4940
  0.686      -20.4940      -20.4940
  0.675      -20.4940      -20.4940
  0.663      -20.4940      -20.4940
  0.652      -20.4940      -20.4940
  0.641      -20.4940      -20.4940
  0.629      -20.4940      -20.4940
  0.618      -20.4940      -20.4940
  0.607      -20.4940      -20.4940
  0.607      -20.4940      -20.4940
  0.575      -20.4940      -20.4940
  0.543      -20.4940      -20.4940
  0.511      -20.4940      -20.4940
  0.479      -20.4940      -20.4940
