#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.000   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.030   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.060   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.090   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.120   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.150   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.179   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.209   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.239   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.269   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.299   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.329   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.359   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.389   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.419   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.449   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.478   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.508   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.538   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.568   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.568   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.579   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.589   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.600   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.610   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.621   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.632   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.642   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.653   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.663   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.674   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.684   -23.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
