#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.000   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.031   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.062   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.093   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.124   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.155   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.185   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.216   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.247   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.278   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.309   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.340   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.371   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.402   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.433   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.464   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.494   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.525   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.556   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
   0.587   -34.806  0.000  0.321  0.321  0.321  0.000  0.000  0.000  0.000  0.000  0.964
