#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.000   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.032   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.063   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.095   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.127   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.159   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.190   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.222   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.254   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.285   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.317   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.349   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.381   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.412   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.444   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.476   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.507   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.539   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.571   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.603   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.603   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.614   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.625   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.636   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.647   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.659   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.670   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.681   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.692   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.703   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.715   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.726   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.737   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.748   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.759   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.771   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.782   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.793   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.804   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.816   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.816   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.849   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.883   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.916   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.950   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.984   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.017   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.051   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.085   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.118   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.152   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.185   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.219   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.253   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.286   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.320   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.354   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.387   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.421   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.455   -48.318  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
