 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   0.000      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.034      0.6118E+04      0.6118E+04      0.6118E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.068      0.7573E+04      0.7573E+04      0.7573E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.102      0.8259E+04      0.8259E+04      0.8259E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.135      0.8615E+04      0.8615E+04      0.8615E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.169      0.8827E+04      0.8827E+04      0.8827E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.203      0.8961E+04      0.8961E+04      0.8961E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.237      0.9048E+04      0.9048E+04      0.9048E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.271      0.9113E+04      0.9113E+04      0.9113E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.305      0.9164E+04      0.9164E+04      0.9164E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.339      0.9202E+04      0.9202E+04      0.9202E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.372      0.9236E+04      0.9236E+04      0.9236E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.406      0.9263E+04      0.9263E+04      0.9263E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.440      0.9292E+04      0.9292E+04      0.9292E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.474      0.9318E+04      0.9318E+04      0.9318E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.508      0.9342E+04      0.9342E+04      0.9342E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.542      0.9367E+04      0.9367E+04      0.9367E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.576      0.9391E+04      0.9391E+04      0.9391E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.610      0.9415E+04      0.9415E+04      0.9415E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.643      0.9441E+04      0.9441E+04      0.9441E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.677      0.9464E+04      0.9464E+04      0.9464E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.711      0.9492E+04      0.9492E+04      0.9492E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.745      0.9520E+04      0.9520E+04      0.9520E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.779      0.9545E+04      0.9545E+04      0.9545E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.813      0.9575E+04      0.9575E+04      0.9575E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.847      0.9605E+04      0.9605E+04      0.9605E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.880      0.9636E+04      0.9636E+04      0.9636E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.914      0.9670E+04      0.9670E+04      0.9670E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.948      0.9703E+04      0.9703E+04      0.9703E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.982      0.9738E+04      0.9738E+04      0.9738E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.016      0.9775E+04      0.9775E+04      0.9775E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.050      0.9811E+04      0.9811E+04      0.9811E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.084      0.9850E+04      0.9850E+04      0.9850E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.117      0.9894E+04      0.9894E+04      0.9894E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.151      0.9935E+04      0.9935E+04      0.9935E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.185      0.9977E+04      0.9977E+04      0.9977E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.219      0.1002E+05      0.1002E+05      0.1002E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.253      0.1007E+05      0.1007E+05      0.1007E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.287      0.1012E+05      0.1012E+05      0.1012E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.321      0.1017E+05      0.1017E+05      0.1017E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.355      0.1022E+05      0.1022E+05      0.1022E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.388      0.1028E+05      0.1028E+05      0.1028E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.422      0.1034E+05      0.1034E+05      0.1034E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.456      0.1040E+05      0.1040E+05      0.1040E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.490      0.1046E+05      0.1046E+05      0.1046E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.524      0.1052E+05      0.1052E+05      0.1052E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.558      0.1058E+05      0.1058E+05      0.1058E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.591      0.1065E+05      0.1065E+05      0.1065E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.625      0.1072E+05      0.1072E+05      0.1072E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.659      0.1079E+05      0.1079E+05      0.1079E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.693      0.1087E+05      0.1087E+05      0.1087E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.727      0.1095E+05      0.1095E+05      0.1095E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.761      0.1103E+05      0.1103E+05      0.1103E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.795      0.1111E+05      0.1111E+05      0.1111E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.829      0.1120E+05      0.1120E+05      0.1120E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.862      0.1129E+05      0.1129E+05      0.1129E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.896      0.1139E+05      0.1139E+05      0.1139E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.930      0.1148E+05      0.1148E+05      0.1148E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.964      0.1159E+05      0.1159E+05      0.1159E+05      0.0000E+00      0.0000E+00      0.0000E+00
