 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   0.000      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.045      0.7123E+04      0.7123E+04      0.7123E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.090      0.8587E+04      0.8587E+04      0.8587E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.135      0.9182E+04      0.9182E+04      0.9182E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.180      0.9476E+04      0.9476E+04      0.9476E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.225      0.9633E+04      0.9633E+04      0.9633E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.270      0.9729E+04      0.9729E+04      0.9729E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.315      0.9796E+04      0.9796E+04      0.9796E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.360      0.9841E+04      0.9841E+04      0.9841E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.405      0.9878E+04      0.9878E+04      0.9878E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.450      0.9906E+04      0.9906E+04      0.9906E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.495      0.9930E+04      0.9930E+04      0.9930E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.540      0.9953E+04      0.9953E+04      0.9953E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.586      0.9974E+04      0.9974E+04      0.9974E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.631      0.9995E+04      0.9995E+04      0.9995E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.676      0.1001E+05      0.1001E+05      0.1001E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.721      0.1003E+05      0.1003E+05      0.1003E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.766      0.1005E+05      0.1005E+05      0.1005E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.811      0.1007E+05      0.1007E+05      0.1007E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.856      0.1009E+05      0.1009E+05      0.1009E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.901      0.1011E+05      0.1011E+05      0.1011E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.946      0.1014E+05      0.1014E+05      0.1014E+05      0.0000E+00      0.0000E+00      0.0000E+00
   0.991      0.1016E+05      0.1016E+05      0.1016E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.036      0.1018E+05      0.1018E+05      0.1018E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.081      0.1021E+05      0.1021E+05      0.1021E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.126      0.1023E+05      0.1023E+05      0.1023E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.171      0.1026E+05      0.1026E+05      0.1026E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.216      0.1029E+05      0.1029E+05      0.1029E+05      0.0000E+00      0.0000E+00      0.0000E+00
   1.261      0.1031E+05      0.1031E+05      0.1031E+05      0.0000E+00      0.0000E+00      0.0000E+00
