#K-Path   X-component    Y-component   Z-component    Total        |  X-real         X-imag         Y-real         Y-image        Z-real         Z-imag
#Square of TDM (in Debye^2)                                        |  TDM-vector (in Debye)
 0.000   0.110889E-10   0.313959E-10   0.533656E-10   0.958504E-10  -0.241682E-05   0.229083E-05   0.126075E-05   0.545952E-05   0.444205E-05  -0.579946E-05
 0.043   0.390186E-07   0.474518E-11   0.418779E-07   0.809013E-07   0.511416E-04  -0.190796E-03   0.128915E-05   0.175592E-05  -0.576680E-04   0.196348E-03
 0.086   0.112306E-07   0.417864E-11   0.889114E-08   0.201260E-07   0.263673E-04   0.102642E-03  -0.116625E-05   0.167884E-05  -0.255379E-04  -0.907687E-04
 0.129   0.636079E-08   0.246158E-11   0.291225E-08   0.927550E-08  -0.774446E-04   0.190556E-04  -0.245927E-06   0.154955E-05   0.529685E-04  -0.103244E-04
 0.172   0.468521E-08   0.489691E-10   0.112890E-08   0.586308E-08   0.415191E-04   0.544186E-04  -0.334193E-05  -0.614821E-05  -0.177439E-04  -0.285317E-04
 0.215   0.206493E-08   0.280839E-10   0.154970E-10   0.210851E-08  -0.195669E-04  -0.410130E-04   0.220546E-05   0.481870E-05  -0.113108E-05   0.377064E-05
 0.258   0.114490E-08   0.197842E-10   0.620833E-10   0.122677E-08  -0.330164E-04   0.740362E-05  -0.370291E-05   0.246426E-05   0.722290E-05   0.314849E-05
 0.301   0.807421E-09   0.326210E-10   0.789866E-10   0.919028E-09   0.277749E-04   0.599779E-05   0.560368E-05  -0.110444E-05   0.855731E-05  -0.239981E-05
 0.344   0.138175E-08   0.662197E-10   0.205617E-10   0.146853E-08  -0.468072E-05  -0.368760E-04  -0.936192E-06  -0.808352E-05  -0.388555E-05  -0.233757E-05
 0.387   0.554960E-09   0.122908E-11   0.329154E-10   0.589105E-09   0.217918E-04   0.894856E-05   0.109347E-05  -0.182758E-06  -0.537791E-05   0.199837E-05
 0.430   0.727911E-09   0.100107E-11   0.554652E-09   0.128356E-08  -0.112210E-04   0.245357E-04  -0.729175E-06  -0.685106E-06  -0.865386E-06   0.235351E-04
 0.473   0.509594E-09   0.933457E-11   0.622358E-11   0.525152E-09  -0.211920E-05   0.224745E-04  -0.578944E-06  -0.299990E-05   0.112205E-05   0.222813E-05
 0.516   0.249894E-08   0.121813E-10   0.171111E-09   0.268223E-08   0.137397E-04   0.480642E-04   0.201837E-05   0.284736E-05   0.254466E-05  -0.128310E-04
 0.559   0.919676E-09   0.342744E-11   0.612746E-09   0.153585E-08   0.173689E-05  -0.302764E-04  -0.321782E-06  -0.182316E-05  -0.474605E-05   0.242945E-04
 0.603   0.107569E-08   0.161889E-11   0.203567E-09   0.128087E-08  -0.283701E-04  -0.164568E-04   0.127188E-05   0.347274E-07   0.115560E-04  -0.836809E-05
 0.603   0.705242E-09   0.600570E-14   0.373557E-10   0.742604E-09   0.183112E-04  -0.192339E-04  -0.480255E-07   0.608215E-07  -0.476590E-05  -0.382648E-05
 0.656   0.303472E-01   0.189482E-11   0.303498E-01   0.606970E-01  -0.131269E+00  -0.114524E+00  -0.563045E-06   0.125610E-05   0.131270E+00   0.114534E+00
 0.709   0.117787E+00   0.698121E-11   0.117814E+00   0.235602E+00  -0.859558E-01  -0.332264E+00  -0.252096E-05  -0.791193E-06   0.859616E-01   0.332303E+00
 0.762   0.254070E+00   0.288527E-10   0.254071E+00   0.508141E+00   0.538859E-01  -0.501165E+00  -0.379973E-05   0.379668E-05  -0.538971E-01   0.501164E+00
 0.816   0.433297E+00   0.191229E-09   0.433341E+00   0.866639E+00   0.163536E+00  -0.637615E+00  -0.504610E-05   0.128750E-04  -0.163538E+00   0.637649E+00
 0.816   0.433361E+00   0.433231E+00   0.237731E-09   0.866592E+00   0.188640E+00   0.630695E+00  -0.188612E+00  -0.630600E+00   0.125343E-05  -0.153675E-04
 0.861   0.628265E+00   0.628169E+00   0.394091E-09   0.125643E+01   0.504069E+00   0.611702E+00  -0.504031E+00  -0.611655E+00  -0.451185E-05  -0.193322E-04
 0.907   0.895458E+00   0.895375E+00   0.422558E-09   0.179083E+01  -0.944242E+00   0.621687E-01   0.944199E+00  -0.621649E-01   0.199083E-04   0.512024E-05
 0.952   0.132765E+01   0.132760E+01   0.294031E-09   0.265525E+01   0.226511E+00  -0.112975E+01  -0.226503E+00   0.112973E+01  -0.105623E-04   0.135081E-04
 0.998   0.608220E-06   0.674694E-06   0.289257E-08   0.128581E-05  -0.388487E-03   0.676238E-03   0.423656E-03  -0.703711E-03  -0.307908E-04   0.440965E-04
 1.044   0.325466E+00   0.325379E+00   0.212064E-09   0.650845E+00  -0.559014E+00  -0.113885E+00   0.558939E+00   0.113868E+00  -0.142097E-04  -0.318557E-05
 1.089   0.289919E+00   0.289876E+00   0.479706E-10   0.579794E+00   0.232428E+00   0.485691E+00  -0.232413E+00  -0.485654E+00   0.491803E-05   0.487684E-05
 1.135   0.245050E+00   0.245006E+00   0.817392E-10   0.490056E+00   0.830837E-01   0.488003E+00  -0.830749E-01  -0.487960E+00   0.235914E-05   0.872775E-05
 1.181   0.194970E+00   0.194957E+00   0.169860E-09   0.389927E+00  -0.201744E+00  -0.392771E+00   0.201738E+00   0.392758E+00  -0.580786E-05  -0.116674E-04
 1.226   0.144138E+00   0.144113E+00   0.747088E-10   0.288251E+00   0.378687E+00  -0.270929E-01  -0.378654E+00   0.270857E-01   0.819516E-05  -0.274739E-05
 1.272   0.966840E-01   0.966723E-01   0.162295E-10   0.193356E+00   0.171312E+00   0.259492E+00  -0.171304E+00  -0.259475E+00   0.310621E-05   0.256534E-05
 1.318   0.562406E-01   0.562355E-01   0.120662E-09   0.112476E+00   0.659711E-01   0.227790E+00  -0.659714E-01  -0.227779E+00   0.351418E-05   0.104074E-04
 1.363   0.255558E-01   0.255504E-01   0.534987E-10   0.511062E-01   0.575314E-01   0.149151E+00  -0.575261E-01  -0.149135E+00   0.214786E-05   0.699181E-05
 1.409   0.647157E-02   0.646681E-02   0.591168E-11   0.129384E-01   0.487584E-01   0.639858E-01  -0.487422E-01  -0.639610E-01   0.162778E-05   0.180611E-05
 1.455   0.176448E-09   0.903818E-10   0.774115E-10   0.344241E-09   0.520907E-05  -0.122194E-04   0.482744E-05  -0.819009E-05  -0.359306E-05   0.803128E-05
 1.455   0.162511E-09   0.911754E-11   0.267968E-09   0.439596E-09  -0.287856E-05  -0.124187E-04  -0.340248E-06  -0.300029E-05   0.185637E-05   0.162641E-04
 1.498   0.359375E-07   0.448157E-07   0.172006E-08   0.824732E-07   0.470603E-04  -0.183638E-03  -0.520908E-04   0.205188E-03   0.109098E-04  -0.400130E-04
 1.542   0.181777E-07   0.256977E-07   0.477883E-09   0.443533E-07   0.983431E-04   0.922299E-04  -0.117528E-03  -0.109018E-03   0.157332E-04   0.151773E-04
 1.585   0.103177E-07   0.140287E-07   0.548480E-09   0.248949E-07  -0.320065E-04  -0.964019E-04   0.370452E-04   0.112500E-03  -0.699419E-05  -0.223509E-04
 1.628   0.530644E-08   0.572117E-08   0.123356E-09   0.111510E-07   0.363900E-04   0.631047E-04  -0.358549E-04  -0.666003E-04   0.576336E-05   0.949417E-05
 1.672   0.230972E-08   0.150301E-08   0.470617E-11   0.381743E-08  -0.834051E-05  -0.473302E-04   0.664796E-05   0.381944E-04  -0.764444E-06   0.203022E-05
 1.715   0.872392E-09   0.116363E-10   0.282864E-09   0.116689E-08   0.113927E-05  -0.295143E-04   0.140570E-05   0.310810E-05  -0.706453E-06   0.168037E-04
 1.759   0.245648E-09   0.587821E-09   0.141838E-08   0.225185E-08   0.123446E-04   0.965713E-05   0.213658E-04   0.114596E-04  -0.315664E-04  -0.205413E-04
 1.802   0.133784E-09   0.208227E-08   0.215371E-08   0.436976E-08  -0.415699E-05   0.107937E-04  -0.163660E-04   0.425960E-04   0.188078E-04  -0.424261E-04
 1.846   0.166065E-11   0.211960E-08   0.190194E-08   0.402321E-08   0.128866E-05  -0.183655E-08  -0.174401E-04  -0.426080E-04   0.189825E-04   0.392633E-04
