#K-Path             Spin-Up       Spin-Down
#Band-index    1
  0.000      -48.3176      -48.3176
  0.032      -48.3176      -48.3176
  0.063      -48.3176      -48.3176
  0.095      -48.3176      -48.3176
  0.127      -48.3176      -48.3176
  0.159      -48.3176      -48.3176
  0.190      -48.3176      -48.3176
  0.222      -48.3176      -48.3176
  0.254      -48.3176      -48.3176
  0.285      -48.3176      -48.3176
  0.317      -48.3176      -48.3176
  0.349      -48.3176      -48.3176
  0.381      -48.3176      -48.3176
  0.412      -48.3176      -48.3176
  0.444      -48.3176      -48.3176
  0.476      -48.3176      -48.3176
  0.507      -48.3176      -48.3176
  0.539      -48.3176      -48.3176
  0.571      -48.3176      -48.3176
  0.603      -48.3176      -48.3176
  0.603      -48.3176      -48.3176
  0.614      -48.3176      -48.3176
  0.625      -48.3176      -48.3176
  0.636      -48.3176      -48.3176
  0.647      -48.3176      -48.3176
  0.659      -48.3176      -48.3176
  0.670      -48.3176      -48.3176
  0.681      -48.3176      -48.3176
  0.692      -48.3176      -48.3176
  0.703      -48.3176      -48.3176
  0.715      -48.3176      -48.3176
  0.726      -48.3176      -48.3176
  0.737      -48.3176      -48.3176
  0.748      -48.3176      -48.3176
  0.759      -48.3176      -48.3176
  0.771      -48.3176      -48.3176
  0.782      -48.3176      -48.3176
  0.793      -48.3176      -48.3176
  0.804      -48.3176      -48.3176
  0.816      -48.3176      -48.3176
  0.816      -48.3176      -48.3176
  0.849      -48.3176      -48.3176
  0.883      -48.3176      -48.3176
  0.916      -48.3176      -48.3176
  0.950      -48.3176      -48.3176
  0.984      -48.3176      -48.3176
  1.017      -48.3176      -48.3176
  1.051      -48.3176      -48.3176
  1.085      -48.3176      -48.3176
  1.118      -48.3176      -48.3176
  1.152      -48.3176      -48.3176
  1.185      -48.3176      -48.3176
  1.219      -48.3176      -48.3176
  1.253      -48.3176      -48.3176
  1.286      -48.3176      -48.3176
  1.320      -48.3176      -48.3176
  1.354      -48.3176      -48.3176
  1.387      -48.3176      -48.3176
  1.421      -48.3176      -48.3176
  1.455      -48.3176      -48.3176
  1.455      -48.3176      -48.3176
  1.482      -48.3176      -48.3176
  1.509      -48.3176      -48.3176
  1.537      -48.3176      -48.3176
  1.564      -48.3176      -48.3176
  1.592      -48.3176      -48.3176
  1.619      -48.3176      -48.3176
  1.647      -48.3176      -48.3176
  1.674      -48.3176      -48.3176
  1.702      -48.3176      -48.3176
  1.729      -48.3176      -48.3176
  1.757      -48.3176      -48.3176
  1.784      -48.3176      -48.3176
  1.812      -48.3176      -48.3176
  1.839      -48.3176      -48.3176
  1.866      -48.3176      -48.3176
  1.894      -48.3176      -48.3176
  1.921      -48.3176      -48.3176
  1.949      -48.3176      -48.3176
  1.976      -48.3176      -48.3176
  1.976      -48.3176      -48.3176
  1.999      -48.3176      -48.3176
  2.021      -48.3176      -48.3176
  2.044      -48.3176      -48.3176
  2.066      -48.3176      -48.3176
  2.088      -48.3176      -48.3176
  2.111      -48.3176      -48.3176
