Bi,Cl,Cs
-4.029931205868211,-0.6507694768359817,-4.1135885768442835
-4.380761045681667,-0.413672526358275,-4.5909928684017665
-4.650358316970484,-0.4315900296805262,-4.357508844242468
-5.016055936759122,-0.2548537540090982,-4.643919258064326
-5.827091017601228,-0.07241035320119654,-4.650559406593294
-5.215075238420239,-0.27682185544222765,-4.445335419324193
-5.541002471676821,-0.01886994296356774,-5.001906334589119
-5.692522433625658,-0.12460528042529553,-4.583687014238044
-6.017904503059045,-0.011985677342426403,-4.704624443864393
-5.550863224480261,-0.08051461159937343,-4.810398493479409
-4.866330763649821,-0.35443404802751266,-4.444995158081951
-4.6680343039431875,-0.46046086916712264,-4.259112334467543
-4.906490433923876,-0.35882742609663576,-4.405041910358544
-5.460394951842772,-0.19475346123504056,-4.527994126330732
-4.745618802637652,-0.277717214169225,-4.755620300331593
-4.351282039789356,-0.4950414837386649,-4.366538666855471
-3.9830752444970337,-0.6259447623221203,-4.219300027966653
-4.093567026713122,-0.5093516152435809,-4.495418281058211
-4.074799842887426,-0.6177817681133456,-4.182639278332713
-3.935711644416556,-0.7026835610909711,-4.020659365047084
-3.028094574264175,-0.9913665547783975,-3.75968843075306
-2.3225947341584905,-1.0895126620786928,-3.9355833355892966
-2.956248761800814,-0.9559179558975097,-3.9139314357046304
-2.9628641948383914,-1.0351567008858225,-3.6718049120479734
-3.0942227477224367,-0.8311231450080468,-4.196333211091937
-3.18408106396328,-0.9453459031899584,-3.7937593923856405
-3.1925606783651634,-0.856261318423604,-4.055360070416781
-3.071754820714756,-0.8935809796617947,-4.023938325135814
-4.076282615464847,-0.6648367529582224,-4.04048580874647
-4.0001753655659975,-0.532703875387627,-4.48762260805749
-4.152552161350736,-0.5629983379197068,-4.295154689938091
-3.945418269289571,-0.6584946736864455,-4.146754944011985
-3.4093833368432596,-0.7350764631507108,-4.274366197250062
-4.454020843306686,-0.5243542053533227,-4.210107966333276
-3.5757771521912995,-0.7280695776981119,-4.184457643375834
-3.1095693981120105,-0.9655315471512673,-3.78287690440256
-2.9152797268777437,-1.0303236070144606,-3.718027172302491
-2.0707438591175196,-1.2195884278063114,-3.7132566217670893
-1.2173619673940757,-1.4838583868621589,-3.489368005748508
-0.8587631531094925,-1.5730753202830778,-3.460783081675473
-1.1670467328589953,-1.5703381269258745,-3.2634722752474152
-0.9354926419747157,-1.562631534295915,-3.440961447060147
-0.3260364205724825,-1.8120548705351953,-3.0989955859437943
-0.8316545048215253,-1.717839287751779,-3.0445636114613484
-0.22302115268576517,-1.9362651055792899,-2.795041726069322
-0.297744747037282,-1.8855032353886874,-2.8975116070734512
-0.37017134279626185,-1.7328874327101058,-3.3070746179365433
-0.4527490972193604,-1.7495187772887029,-3.2021287479186866
-1.1775045246409486,-1.5624345439732235,-3.2802111629173996
-1.6736643566134337,-1.426942260276596,-3.355914792692292
-2.1650454272808246,-1.2688971588848088,-3.5024627164227256
-1.9701858536773553,-1.24461891052561,-3.705203843902635
-1.7492559699160117,-1.283480821537836,-3.7359047000401864
-2.568779350009439,-1.152140400145259,-3.583577044155632
-2.164579734807329,-1.291167302204846,-3.4359627481116117
-2.218381617968616,-1.2749209474805954,-3.448833890176838
-2.1570814067355517,-1.3004630256524838,-3.413074463149883
-1.2513367772075508,-1.4524271791933103,-3.5610117555460703
-1.9983004508848103,-1.3572749252678764,-3.348492734870866
-2.0370773299795237,-1.3038211431550157,-3.4830028284796386
-1.9491174242809381,-1.315341265623091,-3.5070823982078037
-1.8724764797328737,-1.3607075274960487,-3.4220775756209734
-2.2356093040557514,-1.1340889585256397,-3.859844732983615
-1.8362957031966416,-1.3410104676335874,-3.5052892728991782
-2.420665172552829,-1.1965903977603447,-3.548969836281448
-2.527503453595207,-1.03527388908707,-3.961693841606354
-2.66604203368286,-1.125280489531481,-3.5993149868813523
-2.5153891483548665,-1.1884216789264954,-3.5103266755816387
-2.043786040801292,-1.1934430626291606,-3.809664596176025
-1.744484124944231,-1.2962686654559892,-3.700722398266914
-1.3425572281819573,-1.4268169342967545,-3.577028856252801
-1.662331073666876,-1.3458038199514697,-3.6068856356320427
-2.098242210665164,-1.2450414386073354,-3.6185653549989203
-1.2362191035527421,-1.4445260903189292,-3.594793471272419
-1.6374158501032283,-1.4345651194982232,-3.357211886034214
-1.0784923062115217,-1.6318153163897997,-3.1380769912872886
-0.6230354239462808,-1.6542449406190092,-3.374426040109821
-0.7343648384217412,-1.6367162135584963,-3.3527926116410525
-1.299861536311475,-1.56947214875488,-3.177527007458745
-1.2818596119791843,-1.5152744431841612,-3.352121407059096
-0.9086780214354618,-1.7281127485576042,-2.9623942179679155
-0.14399887487928104,-1.985411412939401,-2.7002843225266457
-0.28657455728760667,-1.7782422324827123,-3.2267414089578272
-0.4963711440819781,-1.6934026672872111,-3.341395713348083
-0.3061771212854871,-1.8071541249612673,-3.1269373555235753
-0.09951519242241258,-1.8271509095439844,-3.204721621017473
-1.0122387027051984,-1.5814350527191365,-3.333386851303494
-0.9627272161702928,-1.6675905726905393,-3.1079279490792215
-0.7639244181665861,-1.6982026131482149,-3.1486270263753338
-0.07017732860913646,-1.8556451081225127,-3.1387976011574064
-0.8291231785713131,-1.7524951160685678,-2.9422836773444563
-0.6911913067918497,-1.7166820571381007,-3.1416774353221673
-1.4811981861681616,-1.534060126378568,-3.1628719746832235
-1.714000476954156,-1.3488112871805171,-3.563416965086713
-1.2931222526801456,-1.551516996957661,-3.2358853186046224
-1.1726376137762007,-1.6273892676069976,-3.0885915992592414
-1.6181309632089085,-1.3960235651825945,-3.4856931402439795
-1.8923912075085878,-1.3859745442386984,-3.3330000402092153
-1.3973180511680425,-1.4333508769774965,-3.520919812886517
-1.8828031897527737,-1.2826608095355638,-3.6493332561558276
-1.9713384528181614,-1.333870507497034,-3.4366806535611585
-2.0761415134017334,-1.1678765002039242,-3.864793968384773
